"GLENDEVON (BLACKHILL) NO. 9",,,,,,,,,,,,
Grid ref,NN965044,Long,-3.670671,Lat,56.220867,,,,,,,
Station no,5463,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.10,3.39,2.59,4.98,3.10,,,,,,,
February,4.33,1.18,3.62,5.49,1.46,,,,,,,
March,3.66,5.78,2.73,5.97,1.80,,,,,,,
April,5.03,2.77,3.79,1.98,3.34,,,,,,,
May,2.02,1.89,3.80,6.54,5.04,,,,,,,
June,4.12,5.80,2.57,3.57,2.86,,,,,,,
July,5.77,3.33,7.94,3.27,,,,,,,,
August,9.13,5.63,3.55,4.28,,,,,,,,
September,4.92,3.97,7.02,7.97,,,,,,,,
October,1.39,5.97,4.36,11.49,,,,,,,,
November,9.80,2.59,8.45,11.35,,,,,,,,
December,10.95,6.33,7.71,8.85,,,,,,,,
Total,66.22,48.63,58.13,75.74,,,,,,,,
Calc annual,66.22,48.63,58.13,75.74,17.60,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
