AXMINSTER-GAMBERLAKE-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY293979,Long,-3.0031,Lat,50.7769,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1818/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,6.67,3.92,7.77,2.94,6.04,4.82,9.25,3.04,3.3,4.38,4.23,7.92,0.84,0.74,4.22,2.93,0.55,1.98,5.24,4.29,3.19,3.69,5.68,
February,,,,,,,6.96,1.33,2.41,5.68,5,0.33,1.44,0.61,2.88,2.7,2.85,1.58,1.79,7.04,6.44,0.71,1.94,4.72,3.48,0.34,5.29,4.16,0.47,
March,,,,,,,5.2,0.17,1.44,3.3,3.18,2.77,1.53,0.22,1.46,1.58,9.49,1.29,1.75,2.23,5,3.69,0.61,5.31,1.56,1.45,3.8,2.24,3.99,
April,,,,,,,3.21,0.08,3.35,2.45,2.98,1.92,0.96,2.25,0.89,2.01,3.29,2.86,2.19,2.57,2.27,3.45,3.55,0.41,0.97,1.42,0.11,0.8,2.81,
May,,,,,,,3.43,2.74,1.02,2.86,2.19,6.91,2.71,1.09,5.08,5.81,3.46,3.78,2.65,2.31,3.26,3.17,3.69,2.35,4.24,0.86,2.33,3.33,1.27,
June,,,,,,,1.27,2.11,3.37,0.78,1.51,0.53,1.95,2.67,3.7,3.41,2.45,2.27,0.53,0.9,0.93,2.19,2.95,2.56,3.55,2.64,2.08,3.38,1.15,
July,,,,,,,3.24,4.22,5.53,2.73,1.33,2.25,2.58,3.58,2.55,1.32,3.65,2.13,1.18,4.81,3.16,1.51,3.9,2.69,2.97,2.52,3.39,3.04,2.22,
August,,,,,,,1,3.32,2.49,0.09,4.34,4.38,3.59,3.15,2.07,5.18,1.66,4.59,2.16,4.82,5.69,4.64,2.69,3.65,0.51,3.33,3.05,3.88,1.32,
September,,,,,,,2.83,2.09,1.11,2.03,1.19,2.91,3.14,2.36,2.88,6.91,1.39,2.3,4.38,4.42,4.83,3.58,3.28,2.67,1.42,7.21,3.67,5.6,0.09,
October,,,,,,,5.13,3.92,5.69,5.13,2.18,4.41,4.95,5.24,5.25,2.11,1.17,3,7.02,1.92,0.94,6.12,3.74,2.89,2.27,1.73,2.55,2.83,3.43,
November,,,,,,,2.75,6.59,7.59,8.61,2.9,1.05,2.42,6.91,2.33,6.69,2.79,2.61,5.15,7.49,8.78,4.6,2.47,7.29,5.86,0.93,3.06,3.04,6.4,
December,,,,,,,5.04,3.89,2.47,3.3,3.51,5.26,3.85,3.62,6.51,5.42,3.47,7.1,1.66,3.3,3.51,3.41,0.68,3.5,6.29,8.55,4.06,6.66,9.82,
Total,,,,,,,46.73,34.38,44.24,39.9,36.35,37.54,38.37,34.74,38.9,47.52,39.9,41.43,31.3,42.55,49.03,40,30.05,40.02,38.36,35.27,36.58,42.65,38.65,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Nov 1st Gauge moved 30yrds S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Gauge might have moved No notes but alt and height above ground changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
