RUGBY (FULLER),,,,,,,,,,,,,,,,,,,,
Grid ref,SP511745,Long,-1.25,Lat,52.367,Elevation,330,ft,,,,,,,,,,,,
Station no,RR1187,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,0.07,2.92,2.64,0.28,1.09,2.56,1.37,2.29,2.07,0.92,2.04,2.15,3.09,2.34,3.26
February,,,,,,0.99,1.65,0.76,0.98,1.45,0.84,1.52,0.39,0.45,1.45,2.17,2.58,1.42,1.54,2.26
March,,,,,,1.22,0.67,1.89,0.62,1.41,1.89,2.07,3.58,0.31,2.81,1.22,1.22,2.57,2.08,1.43
April,,,,,,0.57,1.69,2.51,2.47,1.94,1.21,0.55,1.56,1.41,1.48,0.68,1.23,2.37,1.4,1.35
May,,,,,,1.19,2.78,0.85,1.92,1.23,2.96,1.03,2.34,0.44,1.39,1.62,1.39,2.39,0.53,3.22
June,,,,,,2.41,1.4,2.23,1.36,2.51,5.36,1.88,3.32,3.72,0.87,2.47,2.33,3.25,0.26,2.41
July,,,,,2.32,6.82,1.53,2.26,1.76,1.39,1.4,4.62,1.89,0.66,0.27,3.85,3.14,2.46,0.3,0.22
August,,,,,1.93,1.22,1.65,3.84,2.22,2.23,3.16,0.85,1.9,2.02,0.73,3.47,4.08,3.43,3.34,1.43
September,,,,,1.03,1.03,1.52,3.87,2.17,1.79,2.51,1.97,3.28,2.23,1.36,0.24,6.2,3.49,2.16,3.34
October,,,,,1.1,4.46,1.72,2.18,2.16,2.42,2.29,1.23,2.59,2.13,1.67,4.6,1.97,2.69,2.28,
November,,,,,1.48,1.16,1.35,1.57,0.45,1.88,2.01,2.51,0.75,1.97,1.65,2.29,1.74,0.49,1.44,
December,,,,,1.45,0.67,1.67,0.61,2.03,1.75,1.35,1.22,1.3,1.1,1.79,1.29,1.87,1.86,5.48,
Total,,,,,,21.81,20.55,25.21,18.42,21.09,27.54,20.82,25.19,18.51,16.39,25.94,29.9,29.51,23.15,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Before June 1857 the gauge was on the roof,,,,,,,,,,,,,,,,,,,,
