RUGBY SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP504749,Long,-1.261,Lat,52.37,Elevation,330,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907
January,,,3.84,1.52,2.35,3.16,1.95,3.1,1.77,2.15,0.39,0.67,2.1,3.17,2.54,1.73,3.03,2.82,0.97,1.03,2.56,1.75,1.19,1.65,1.46,3.62,1.46,2.27,1.18,3.04,3.69,0.95,0.94,1.89,2.2,0.57,3.53,1.2
February,,,2.25,1.14,1.8,1.27,2.77,2.15,1.43,2.88,2.75,3.91,2.14,3.41,0.89,2.57,0.77,0.61,1.95,1.8,0.62,0.04,1.04,2.76,1.73,0.19,0.41,2.6,1.14,2.36,4.71,2.36,1.35,0.95,2.75,0.57,2.18,1.13
March,,,1.15,1.95,0.87,0.42,2.66,1.81,0.86,0.68,1.69,1.55,1.32,0.97,1.51,0.78,2.16,0.92,2.42,3.1,1.56,1.14,0.59,0.23,1.16,2.05,2.55,2.67,1.07,1.51,0.64,1,1.59,3.3,1.63,2.62,1.38,0.94
April,,2.62,2.51,0.8,1.2,1.54,3.67,2.4,1.99,2.15,1.44,0.41,3.3,1.63,1.85,2.44,1.76,1.3,1.94,2.73,1.77,1.52,0.79,0.29,1.91,0.91,1.16,1.79,2.3,2.13,0.81,2.39,1.33,1.26,0.85,1.2,0.89,2.1
May,,1.5,2.18,2.53,1.44,1.86,0.41,1.8,5.12,2.74,1.41,0.88,1.85,1.99,1.08,2.88,5.3,1.39,1.05,3.59,1.47,3.16,1.66,2.07,1.98,0.75,0.34,1.22,3.27,1.81,1.69,1.04,2.28,2.9,2.29,0.44,1.93,4.15
June,,3.16,4.3,3.64,0.74,3.98,2.58,1.18,3.15,4.48,2.65,3.75,4.75,3.26,1.43,2.1,0.9,1.51,2.2,0.84,1.94,1.42,2.53,0.83,2.51,0.28,2.34,2.36,0.82,1.32,3.46,3.16,3.34,2.22,0.61,3.09,3.02,2.06
July,,4.19,4.31,2.32,0.65,7.58,0.88,3.71,1,3.55,7.88,2.57,3.15,3.61,4.11,0.17,3,1.38,7.22,2.62,2.39,2.07,2.93,4.17,2.84,2.57,1.8,1.44,1,1.4,0.77,3.68,1.7,3.07,1.94,1.48,0.86,2.47
August,,1.18,2.99,2.16,2.26,1.14,2.26,3.89,4.44,4.35,1.12,5.6,1.58,1.06,2.46,3.01,1.42,1.1,2.25,2.84,1.91,4.02,1.85,1.75,2.17,2.27,2.15,4.11,3.53,1.38,3.66,1.69,3.83,3.24,2.42,3.86,0.94,3.51
September,,4.68,1.61,1.28,3.16,3.38,4.65,1.86,2.37,2.96,4.72,1.81,2.73,4.83,1.13,2.88,1.68,2.15,1.02,2.91,1.18,1.13,2.03,1.08,1.79,0.73,4.1,2.5,0.54,2.71,0.66,1.17,1.17,2,2.08,2,1.6,
October,,1.98,3.02,1.98,4.23,5.87,1.57,1.98,2.64,1.17,6.62,3.07,5.62,2.01,1.24,3.82,4.28,2.33,0.66,2.68,1.63,5.19,3.21,3.18,3.08,2.73,3.08,1.73,3.45,2.55,2.72,0.94,2.42,5.78,0.76,0.93,4.95,
November,,0.92,4.74,1.63,2.53,4.34,3,2.81,3.84,1.15,1.98,3.25,4.11,3.27,1.6,3.35,2.85,2.25,3.71,1.37,3.97,1.88,1.7,1.84,3.79,5.19,1.07,1.06,1.81,1.44,3.26,0.65,1.5,1.66,1.37,2.2,3.21,
December,,1.27,3.3,0.71,1.11,1.12,4.18,2.02,1.99,0.84,4.03,3.29,3.36,1.21,2.24,0.93,3.19,1.74,2.12,1.77,0.67,3.58,1.47,1.7,2.43,1.6,3.91,1.02,2.07,1.91,4.61,3.46,1.16,2.01,1.56,0.91,2.43,
Total,,,36.2,21.66,22.34,35.66,30.58,28.71,30.6,29.1,36.68,30.76,36.01,30.42,22.08,26.66,30.34,19.5,27.51,27.28,21.67,26.9,20.99,21.55,26.85,22.89,24.37,24.77,22.18,23.56,30.68,22.49,22.61,30.28,20.46,19.87,26.92,
