"BRUCHE HALL, NEAR WARRINGTON",,,,,,,,,,,,,,,,,,,,
Grid ref,SJ626894,Long,-2.563955,Lat,53.400091,Elevation,25,ft,,,,,,,,,,,,
Station no,RR6970,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,2.02,2.32,1.55,4.38,1.46,1.85,1.48,3.35,1.2,,,,,,,,
February,,,,1.79,3.27,1.4,2.71,1.34,2.47,0.74,2.07,2.19,,,,,,,,
March,,,,3.24,1.69,2.94,2.34,2.04,2.46,2.29,0.69,0.91,,,,,,,,
April,,,,1.39,1.63,2.07,1.24,1.01,2.7,2.72,2.68,2.1,,,,,,,,
May,,,,3.79,1.93,0.74,2.53,3,3,1.32,2.03,0.49,,,,,,,,
June,,,,1.83,1.68,2.33,2.27,5.22,2,2.18,3.45,2.2,,,,,,,,
July,,,,3.41,1.57,1.95,1.09,2.67,4.15,4.01,4.04,1,,,,,,,,
August,,,,3.43,4.24,3.46,2.74,3.63,2.61,3.59,4.52,2.7,,,,,,,,
September,,,,4.47,1.4,1.84,2.1,0.77,3.39,2.36,0.35,,,,,,,,,
October,,,,5.74,2.06,3.27,4.39,3.03,1.91,4.61,2.07,,,,,,,,,
November,,,,3.09,1.65,3.02,1.72,2.83,3.02,1.16,5.22,,,,,,,,,
December,,,,1.58,2.71,0.58,3.05,2.39,2.14,6.01,2.61,,,,,,,,,
Total,,,,35.78,26.15,25.15,30.56,29.39,31.7,32.47,33.08,,,,,,,,,
