BATLEY STAINCLIFFE RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE229236,Long,-1.654554,Lat,53.708327,Elevation,460,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,,2.3,1.1,1.5,0.6,2.7,2.2,0.5,2.6,0.7,3.6,2.88,1.25,1.57,1.81,1.93,0.62,2.94,0.62,1.29,0.88,1.88,0.38,3.38,2,1.31,,,,,
February,,,,,,,,,,,0.7,0,2.6,2.7,4,0.9,0.7,2.1,1,1.4,2.94,0.55,0.94,2.06,3.69,0.5,1.06,1.19,0.79,0.37,1.62,1.87,1.44,0.63,1.69,,,,,
March,,,,,,,,,,,1.9,0.8,0.2,0.5,1.9,1,3.5,2.6,1,1.2,0.56,1.75,0.8,3.06,1.69,1.88,1.62,1.31,2.76,2.37,0.13,0.75,2.31,2.93,2.13,,,,,
April,,,,,,,,,,,0.9,1.6,0.3,0.5,2.1,2.6,1.3,1.4,2,2.1,0.62,1.77,1.62,0.63,1.62,1.18,0.25,0.81,1.36,2.26,1.87,0.88,0.31,1.93,0.75,,,,,
May,,,,,,,,,,,1.7,2,1.8,1.9,1,0.6,0.6,0.7,1.8,3.1,1.25,1.13,2.12,3.87,1.88,0.82,1.63,2.69,2.08,1.62,1.62,1.06,3.44,1.88,0.87,,,,,
June,,,,,,,,,,,1.1,1.3,2.8,1.9,2.3,3.4,2.6,3.2,2.8,1.1,2.56,0.66,2,1.37,1.44,2.06,2.06,3,0.98,3,4.88,2.56,4.37,0.5,2.13,,,,,
July,,,,,,,,,,1.4,2.4,1.6,2.3,3.4,3.5,5.2,1.2,0.3,0.5,2.1,2.06,2.13,1.5,2.75,1.62,1.56,0.69,2.06,2.09,2.91,2.37,0,3.88,0.38,2.06,,,,,
August,,,,,,,,,,3.3,3.4,4.1,3.3,1.2,2.5,1.3,1.3,2.2,3.2,0.8,4.94,1.32,3.44,2.31,3.13,3.63,2,1.19,1.28,2,3.13,1.69,5.12,0.81,2,,,,,
September,,,,,,,,,,1.7,1.3,1.4,1.9,2.3,0.4,0.8,4.3,2.8,0.2,4.4,0.25,0.56,1.07,2.75,0.18,1.25,0.43,0.44,2.54,1.91,0.13,2.13,1.13,1.75,0.81,,,,,
October,,,,,,,,,,2.4,0.9,2.5,4.1,1.6,5.2,2.8,3.7,1.6,3.6,2.7,2.94,1.82,2.4,7.56,0.38,1.56,3.82,4.62,1.09,1.77,2,2.06,2.25,2.44,2.19,,,,,
November,,,,,,,,,,0.5,3.9,2.3,1.1,1.9,1.3,2.7,1.2,1.6,1.6,0.8,3.44,3.55,1.64,1.18,0.94,3.19,2.87,3.07,1.09,0.25,2.87,2.75,1.31,1.63,2.81,,,,,
December,,,,,,,,,,1.7,0.6,5.7,1.2,3.5,1.2,2.1,2.7,3.4,2.1,2.5,2.81,3.56,1.87,1.06,1.37,0.43,2.13,2.12,0.98,3.61,2.75,3.25,2.06,1.5,5.12,,,,,
Total,,,,,,,,,,,21.1,24.4,23.1,22,28.1,25.6,23.6,24.5,20.5,25.8,27.25,20.05,20.97,30.41,19.87,18.68,21.5,23.12,18.33,22.95,25.25,19.38,31,18.38,23.87,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New gauge starts in 1914 at same location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 1933 = 0.52 but April has in fact, been corrected to 1.64 not 2.64 and total is then correct",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
