GAYDON AIRFIELD,,,,,,,,,,
Grid ref,SP342541,Long,-1.501201,Lat,52.184094,Elevation,431,ft,,
Station no,2442/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.91,3.68
February,,,,,,,,,0.11,1.6
March,,,,,,,,,2.3,0.91
April,,,,,,,,,2.61,0.71
May,,,,,,,,,0.57,1.16
June,,,,,,,,,0.98,2.79
July,,,,,,,,,1.2,3.09
August,,,,,,,,,0.69,4.15
September,,,,,,,,,0.15,3.96
October,,,,,,,,,2.48,4.01
November,,,,,,,,,2,2.91
December,,,,,,,,,3.7,2.69
Total,,,,,,,,,20.7,31.66
,,,,,,,,,,
16805,GAYDON MET OFFICE ,01/01/1960,31/12/1970,,,,,,,
