JERSEY-ST-AUBINS-(TOWER-ALT-110+15FT),,,,,,,,,,,,,,,,,,,,
Grid ref,WV604488,Long,-2.16983,Lat,49.18984,Elevation,125,ft,,,,,,,,,,,,
Station no,RR483,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,2.58,2.82,0.99,2.05,1.14,2.1,2.64,2.33,,,,
February,,,,,,,,,1.5,4.09,2.78,2.99,1.24,2.01,1.99,3.29,,,,
March,,,,,,,,,1.81,1.09,1.52,1.57,1.3,2.18,1.53,1.58,,,,
April,,,,,,,,,3.18,1.63,1.65,0.87,2.11,1.47,1.5,1.76,,,,
May,,,,,,,,,2.46,2,0.36,1.28,1.21,2.35,0.81,1.63,,,,
June,,,,,,,,,2.19,2.76,1.7,2.41,2.8,1.71,4.69,0.89,,,,
July,,,,,,,,,1.62,1.21,2.33,1.52,2.49,2.37,1.6,0.1,,,,
August,,,,,,,,1.37,2.78,3.32,1.08,3.36,2.16,1.31,1.19,0.91,,,,
September,,,,,,,,1.27,1.8,2.88,6.02,1.53,2.74,4.29,2.88,3.29,,,,
October,,,,,,,,2.17,4.27,1.19,8.46,3.04,4.95,3.91,2.94,4.8,,,,
November,,,,,,,,4.68,7.49,0.87,2.84,2.44,7.61,4.45,2.6,2.97,,,,
December,,,,,,,,1.97,3.33,0.7,3.28,3.79,4.88,1.31,4.97,1.24,,,,
Total,,,,,,,,,35.01,24.56,33.01,26.85,34.63,29.46,29.34,24.79,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"When the observer lived here it was a school and he was the headmaster. He had 2 gauges, one on the lawn, the other in a viewing tower built by the previous owner.",,,,,,,,,,,,,,,,,,,,
It is currently a hotel 250 yrds N of station. Elevation changed as 140ft too high,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1877 This gauge is place experimentally on a tower 14ft above the other gauge and quite clear of trees,,,,,,,,,,,,,,,,,,,,
1877 The total registered by this gauge during the 5 months is 11.46 and by the old gauge 15.04 for the same period,,,,,,,,,,,,,,,,,,,,
