FINTRY (POLICE STATION),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS616867,Long,-4.223866,Lat,56.053084,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,11.27,7.27,14.18,,,,,7.12,11.1,5.29,2.37,1.61,5.97,9.01,9.26,3.4,9.95,8.38,10.39,5.75,5.62,7.62,7.26,3.17,6.32,3.96,4.83,8.77,8.03,2.79,5.73
February,,,,,,,,,,,0.73,7.37,0.14,,,,,8,4.1,8.79,3.02,6,3.78,7.87,1.64,10.46,4.89,1.31,8.53,5.21,8.85,5.12,1.61,2.13,5.83,3.59,1.59,4.59,2.64,2.71,6.28
March,,,,,,,,,,,5.08,1.83,3.61,,,,,2.29,4.6,5.54,4.29,2.35,4.56,7.38,0.49,4.99,3.78,4.98,6.58,2.34,4.1,4.64,4.95,3.58,5.42,1.85,3.49,6.2,1.49,4.57,3.05
April,,,,,,,,,,,1.95,3.2,8.33,,,,,2.99,0.36,4.15,4.81,1.79,3.92,4.4,3.7,3.35,1.3,10.46,4.62,7.59,5.64,5.6,3.58,2.92,2.76,3.43,1.33,2.27,2.89,4.68,5.53
May,,,,,,,,,,,3.08,8.74,3.91,,,,,2.53,4.89,1.09,2.26,4.65,3.49,5.94,3.97,6.57,2.05,5.07,2.8,3.08,1.71,1.87,1.34,2.91,5.58,5.39,3.31,2.46,4.89,1.02,4
June,,,,,,,,,,,3.43,11.48,2.29,,,,,3.96,7.42,2.41,0.91,0.95,1.56,4.51,4.5,4.54,4.47,4.35,6.88,1.4,2.69,4.46,4.04,2.18,3.69,2.6,4.11,2.1,3.33,3.25,2.93
July,,,,,,,,,,,4.04,8.5,2.6,,,,,4.62,5.2,4.72,5.23,3.81,3.16,4.15,2.83,3.18,4.18,3.37,6.04,3.38,6.36,4.36,2.88,6.43,3.23,1.8,6.07,4.61,4.6,6.8,4.6
August,,,,,,,,,,,6.37,3.67,2.81,,,,,4.21,2.79,3.41,1.72,4.7,8.01,8.25,3.21,1.5,3.91,0,,5.7,7.19,5.76,5.13,4.3,4.07,1.26,5.46,4.87,5.45,1.52,3.47
September,,,,,,,,,,,4.85,2,4.78,,,,,4.61,5.86,2.84,3.3,2.01,7.93,4.25,5.32,7.62,8.48,6.27,,2.86,11.24,5.15,4.03,4.86,8.67,5.08,6.74,3.66,5.4,1.12,3.24
October,,,,,,,,,,,9.03,6.16,9.16,,,,,4.25,11.5,4.02,7.54,5.82,8.59,11,7.07,7.6,0.57,2.9,,8.84,6.27,1.1,6.51,4.41,11.22,4.58,5.33,6.6,5.81,6.4,4.61
November,,,,,,,,,,,6.91,15.38,6.59,,,,,1.8,11.62,12.36,8.14,5.05,1.61,4.71,11.01,0.49,9.24,8.21,,5.74,5.96,8.59,2.55,8.95,8.98,2.69,1.25,2.63,2.12,9.56,8.67
December,,,,,,,,,,,7.3,7.84,12.81,,,,,3.57,4.42,4.51,5.82,4.83,8.73,3,8.42,5.44,7.86,2.74,,12.7,2.8,11.92,6.7,7.16,7.06,10.47,8.24,8.34,7.44,10.74,8.25
Total,,,,,,,,,,,64.04,83.44,71.21,,,,,49.95,73.86,59.13,49.41,43.57,61.31,74.47,61.42,59.14,60.68,58.04,,64.59,68.43,66.19,50.58,53,72.83,46.7,51.75,57.1,54.09,55.16,60.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 NP too Big,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932 NP too Big,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 F Oct  Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 Jan Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959-60 Moves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,663462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
