MALMESBURY-EASTON-GREY,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST878876,Long,-2.1774863,Lat,51.58712,Elevation,355,ft,,,,,,,,,,,,,
Station no,1501,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,4.24,3.14,3.64,2.02,3.95,2.87,5.19,3.34,5.31,1.25,4.43,2.21,3.96,2.55,2.91,0.85,3.89,,,,
February,1.17,0.47,4.32,6.55,0.27,4.12,2.31,3.73,2.98,0.9,0.69,2.25,0.08,3.62,0.26,2.84,2.57,,,,
March,2.62,1.98,3.16,2.14,1.61,0.35,0.45,,3.51,0.35,2.11,0.49,2.67,3.78,2.34,0.8,2.34,,,,
April,4.93,0.85,2.44,3.04,2.81,2.08,3.04,,1.15,0.94,2.21,2.76,3.38,1.38,1.95,4.94,2.03,,,,
May,2.28,2.45,0.87,1.86,5.65,3.86,2.78,,0.86,2.36,1.53,4.18,6.14,2.27,1.01,1.14,0.67,,,,
June,4.04,0.19,1.31,0.5,2.48,0.01,2.03,,2.76,1.5,0.37,4.14,1.4,2.13,1.62,3.71,1.99,,,,
July,4.18,0.74,4.3,2.21,4.9,3.88,4.5,,3.05,1.36,2.89,4.33,2.71,2.21,1.05,0.99,5.73,,,,
August,1.12,2.02,4.27,3.32,3.7,4.29,2.08,,1.66,2.47,3,3.71,0.8,1.02,2.4,2.03,0.43,,,,
September,1.61,2.76,1.84,2.79,4.09,3.96,1.13,,1.16,0.28,4.18,2.44,3.92,4.01,2.11,5.45,3.86,,,,
October,2.25,1.67,1.23,5.15,5,3.94,3.61,,5.28,4.87,2.49,0.58,5.69,3.44,1.9,6.04,,,,,
November,1.54,2.88,1.87,1.92,2.56,1.86,7.19,,3.37,8.01,3.92,4.43,2.18,0.81,1.39,6.26,,,,,
December,3.37,2.04,4.09,3.75,5.31,4.5,0.46,,3.33,7.24,3.88,1.8,1.25,0.64,6.58,3.87,,,,,
Total,33.35,21.19,33.34,35.25,42.33,35.72,34.77,,34.42,31.53,31.7,33.32,34.18,27.86,25.52,38.92,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Gauge changed Mar 1928,,,,,,,,,,,,,,,,,,,,,
1936 Oct Nov Dec estimated,,,,,,,,,,,,,,,,,,,,,
