OLD-MALDEN-SPORTS-GROUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ219669,Long,-0.249506,Lat,51.38806,Elevation,64,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,146/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,4.2,2.27,3.79,2.11,2.29,2.41,4.89,1.41,1.69,1.55,1.48,3.25,0.98,0.87,3.42,1.97,0.97,1.21,2.55,3.67,1.64,2.05,2.03,1.87
February,,,,,,,4.22,0.4,1.14,1.33,1.97,0.66,1.81,0.71,1.32,2.31,1.4,1.23,1.11,4.18,6.37,0.92,1.33,2.2,1.6,0.44,2.89,2.25,0.05,1.58
March,,,,,,,,0.35,1.01,3.28,3.34,1.82,0.28,0.03,0.98,1.19,5.03,0.77,0.85,0.72,3.19,3.05,0.51,2.09,1.05,0.78,0.78,1.22,2.09,1.68
April,,,,,,,2.02,0.1,2.38,1.65,1.33,1.1,0.79,1.53,1.09,2.33,1.67,1.11,1.99,3.03,2.61,1.32,2.3,0.3,0.28,1.14,0.28,1.18,1.82,0.65
May,,,,,,,2.44,1.46,1.51,1.05,1.65,3.09,1.99,0.88,2.59,3.75,1.49,2.14,2.06,1.57,2.09,3.9,1.39,3.31,3.92,0.22,1.46,2.2,0.78,1.96
June,,,,,,,1.85,0.54,0.94,0.45,2.21,2.96,0.9,1.86,1.36,2.69,1.83,1.97,0.63,1.44,1.02,2.05,1.16,4.13,2.06,1.8,1.09,4.62,0.67,1.28
July,,,,,,,0.72,1.07,2.8,2.48,3.64,1.94,1.5,2.12,3.01,1.19,1.23,1.05,1.33,3.36,1.61,0.68,3.81,2.72,1.5,5.42,2.93,2.49,1.18,2.81
August,,,,,,,2.29,2.17,3.46,0.08,4.47,1.67,1.28,2.71,1.52,4.35,0.29,3.65,1.33,1.86,2.66,2.23,1.49,2.75,1.08,2.93,3.46,3.52,1.42,6.34
September,,,,,,,1.68,2.36,1.34,,0.41,1.05,1.98,2.36,1.86,2.99,1.34,1.04,0.55,2.67,3.42,3.33,2.8,2.57,1.62,2.1,2.53,4.41,0.01,2.78
October,,,,,,,2.58,2.34,5.75,2.15,0.74,3.31,2.69,2.96,2.39,0.88,0.14,2.62,5.68,0.46,0.8,2.57,3.21,2.33,2.86,1.5,1.78,3.1,2.07,5.24
November,,,,,,,1.48,3.96,4.17,6.9,2.53,2.04,1.09,3.46,0.19,3.44,1.17,1.57,2.2,5.33,5.94,3.1,1.09,4.27,0.68,0.53,2.68,1.72,2.95,3.55
December,,,,,,,4.37,3.39,0.97,1.03,1.61,2.47,1.55,1.51,2.92,2.32,2.61,3.47,1.32,1.57,2.22,2.53,0.59,1.9,2.14,2.77,1.88,2.63,3.33,2.53
Total,,,,,,,,20.41,29.26,,26.19,24.52,20.75,21.54,20.92,28.99,19.68,23.87,20.03,27.06,35.35,27.65,20.65,29.78,21.34,23.3,23.4,31.39,18.4,32.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 Mar Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Dec 6 Inspection Very good exposure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Sept Part estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Feb part estimated by observer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Oct 27 Inspection Satisfactory site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 6580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937-1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
