"GRETTON, GRETTON HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7044,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.33,2.35,3.54,,,,,,,,,
February,0.91,0.39,2.25,,,,,,,,,
March,2.95,0.72,1.56,,,,,,,,,
April,5.38,1.22,3.07,,,,,,,,,
May,1.52,1.58,1.00,,,,,,,,,
June,1.77,0.73,0.98,,,,,,,,,
July,3.25,0.36,5.05,,,,,,,,,
August,1.69,2.75,5.74,,,,,,,,,
September,1.86,1.06,2.31,,,,,,,,,
October,1.29,2.04,1.13,,,,,,,,,
November,1.17,1.68,1.28,,,,,,,,,
December,2.38,1.71,2.99,,,,,,,,,
Total,26.50,16.59,30.90,,,,,,,,,
Calc annual,26.50,16.59,30.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
