"THAMES DITTON, WESTON GREEN & DITTON HILL",,,,,,,,,,,,
Grid ref,TQ153666,Long,-0.344411,Lat,51.386742,,,,,,,
Station no,RR7754,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.96,1.10,0.69,2.41,2.72,1.08,3.51,0.72,1.69,,,
February,3.98,1.19,0.78,0.98,2.39,0.80,1.56,1.37,1.15,,,
March,1.07,2.06,1.47,2.48,1.59,3.68,1.27,0.88,2.76,,,
April,1.06,1.95,0.68,1.74,0.89,1.59,0.57,3.52,,,,
May,1.03,0.43,2.54,2.20,2.29,0.42,1.65,1.82,,,,
June,2.30,1.42,3.86,6.62,0.76,4.76,2.62,1.82,,,,
July,1.32,1.89,1.31,3.97,1.81,0.65,0.76,1.26,,,,
August,2.84,1.92,3.24,4.43,1.60,2.80,0.91,2.42,,,,
September,0.54,1.43,2.86,3.16,1.32,1.72,1.75,0.60,,,,
October,1.59,1.67,1.41,5.09,1.85,1.24,4.15,3.55,,,,
November,1.80,0.47,1.75,1.71,1.56,2.95,3.88,2.39,,,,
December,2.11,2.92,1.20,1.49,2.52,0.69,2.04,3.00,,,,
Total,22.60,18.45,21.79,36.28,21.30,22.38,24.67,,,,,
Calc annual,22.60,18.45,21.79,36.28,21.30,22.38,24.67,23.35,5.60,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
