THAMES-DITTON-WESTON-GREEN,,,,,,,,,,,,,,,,,,
Grid ref,TQ155667,Long,-0.34101,Lat,51.38762,Elevation,34,ft,,,,,,,,,,
Station no,RR7754,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907
January,,,0.41,1.44,3.27,1.5,0.64,1.97,0.8,2.36,2.96,1.1,0.69,2.41,2.72,1.08,3.51,0.72
February,,,1.14,2.7,1.51,0.17,0.28,2.03,1.14,2.41,3.98,1.19,0.78,0.98,2.39,0.8,1.56,
March,,1.96,1.03,0.28,1.08,1.27,3.1,3.49,1.21,0.5,1.07,2.06,1.47,2.48,1.59,3.68,1.27,
April,,0.98,0.94,0.02,2.13,1.32,0.7,1.62,0.95,2.36,1.06,1.95,0.68,1.74,0.89,1.59,0.57,
May,,2.82,1.04,1.41,1.49,0.66,0.3,1.55,2.84,1.58,1.03,0.43,2.54,2.2,2.29,0.42,1.65,
June,,1.67,2.75,1.11,2,0.27,1.78,3.57,1.41,1.5,2.3,1.42,3.86,6.62,0.76,4.76,2.62,
July,,2.94,2.12,1.84,3.55,4.1,1.47,1.22,0.69,0.42,1.32,1.89,1.31,3.97,1.81,0.65,0.76,
August,,3.56,2.66,1.01,2.88,3.89,2.7,2.53,1.16,0.52,2.84,1.92,3.24,4.43,1.6,2.8,0.91,
September,,1.03,2.5,1.14,1.24,0.89,6.06,1.84,0.45,2.42,0.54,1.43,2.86,3.16,1.32,1.72,1.75,
October,,5.46,3.37,3.68,4.89,2.74,2.4,0.53,3.15,2.23,1.59,1.67,1.41,5.09,1.85,1.24,4.15,
November,,2.54,2.71,1.96,3.08,3.12,1.24,1.03,2.6,4.07,1.8,0.47,1.75,1.71,1.56,2.95,3.88,
December,,2.83,1.21,2.13,1.85,2.22,3.13,2.31,2.38,1.35,2.11,2.92,1.2,1.49,2.52,0.69,2.04,
Total,,,21.88,18.72,28.97,22.15,23.8,23.69,18.78,21.72,22.6,18.45,21.79,36.28,21.3,22.38,24.67,
,,,,,,,,,,,,,,,,,,
Exact house unknown but Weston Green a small village,,,,,,,,,,,,,,,,,,
NGR in Westongreen Rd with northern part matching elevation distances and move to Ditton Hill,,,,,,,,,,,,,,,,,,
1891 Jan Estimated ,,,,,,,,,,,,,,,,,,
1891 Feb Marked as station started but value of 0 unlikely so removed,,,,,,,,,,,,,,,,,,
1897 Oct Gauge moved 200yds SSE and replaced,,,,,,,,,,,,,,,,,,
1897 Dec 31 Gauge moved back to old position,,,,,,,,,,,,,,,,,,
1907 Feb 10 Gauge moved 1.5 miles ESE to Ditton Hill,,,,,,,,,,,,,,,,,,
