"STOURPORT, DUNLEY HALL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO790695,Long,-2.3095348,Lat,52.323192,Elevation,220,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,4.66,1.45,2.14,1.6,2.31,1.08,3.52,3.14,2.46,6.05,3.33,4.75,3.5,5.23,1.72,1.61,,,,,
February,,,,,,,,,,,0.48,1.87,0.08,3.51,0.3,2.12,2.45,4.67,0.5,1.03,2.53,2.22,0.77,1.09,1.01,1.6,,,,,
March,,,,,,,,,,,2.34,0.23,1.67,2.14,2.03,0.54,2.89,2.93,0.37,1.29,1.17,2.37,2.1,1.14,0.52,0.86,,,,,
April,,,,,,,,,,,2.61,3.58,3.59,0.92,2.27,3.43,2.14,1.88,0.01,1.9,2.04,1.58,1.48,1.03,1.82,0.94,,,,,
May,,,,,,,,,,,2.55,4.46,6.14,1.87,1.23,0.81,1.14,2.28,1.31,1.2,3.16,2.25,4.18,3.26,0.78,2.74,,,,,
June,,,,,,,,,,,1.21,3.71,0.93,1.65,0.9,2.67,3,0.57,1.01,1.33,0.93,2.31,0.11,1.75,1.43,2.68,,,,,
July,,,,,,,,,,,3.09,2.25,2.56,1.29,0.59,0.39,5.39,2.47,3.43,4.06,2.19,3.87,1.24,0.97,2.45,2.44,,,,,
August,,,,,,,,,,,3.1,4.23,2.42,0.6,2,1.58,0.37,0.38,2.23,1.69,0.02,3,2.34,1.57,2.93,3.75,,,,,
September,,,,,,,,,,,2.96,2.37,2.49,0.64,1.69,3.21,2.89,2.06,1.22,0.58,1,1.24,1.53,2.25,2.46,1.8,,,,,
October,,,,,,,,,,,3.42,0.59,3.43,4.29,1.2,3.78,1.11,2.55,2.4,2.87,4.19,2.15,2.16,2.21,3.07,2.99,,,,,
November,,,,,,,,,,,3.2,3.73,1.1,0.81,1.58,5.07,2.7,1.53,3.31,4.42,6.25,3.16,0.98,1.9,4.18,0.2,,,,,
December,,,,,,,,,,,3.43,0.9,0.86,0.3,5.22,3.17,2.29,1.87,3.56,1.8,1.35,1.42,3.6,1.35,2.01,3.77,,,,,
Total,,,,,,,,,,,33.05,29.37,27.41,19.62,21.32,27.85,29.89,26.33,21.81,28.22,28.16,30.32,23.99,23.75,24.38,25.38,,,,,
