MONYASH RECTORY,,,,,,,,,,,,
Grid ref,SK152664,Long,-1.773947,Lat,53.194470,,,,,,,
Station no,2674/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,4.61,3.38,6.05,,
February,,,,,,,,7.23,0.32,3.54,,
March,,,,,,,,2.41,2.24,2.61,,
April,,,,,,,,1.22,3.79,2.43,,
May,,,,,,,,4.09,1.24,1.98,,
June,,,,,,,,5.95,1.66,2.33,,
July,,,,,,,,4.81,2.92,4.84,,
August,,,,,,,,2.43,2.41,4.77,,
September,,,,,,,,4.93,0.12,5.60,,
October,,,,,,,,4.50,3.69,6.63,,
November,,,,,,,2.37,1.25,5.60,5.88,,
December,,,,,,,5.10,4.81,7.26,4.76,,
Total,,,,,,,,48.24,34.63,51.42,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,7.47,48.24,34.63,51.42,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
