PUDSEY-SEWAGE-WORKS,,,,,,,,,,
Grid ref,SE234330,Long,-1.6462707,Lat,53.792791,Elevation,314,ft.,,
Station no,3278/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,4.49
February,,,,,,,,,,1.85
March,,,,,,,,,,1.84
April,,,,,,,,,,1.11
May,,,,,,,,,,1.52
June,,,,,,,,,,1
July,,,,,,,,,,3.31
August,,,,,,,,,,4.2
September,,,,,,,,,,3.25
October,,,,,,,,,,4.53
November,,,,,,,,,,5.38
December,,,,,,,,,,3.02
Total,,,,,,,,,,35.5
,,,,,,,,,,
NGR is from the 1950s record and is the sewage works. Altitude match.,,,,,,,,,,
MIDAS src_id 2578 ends 1987,,,,,,,,,,
