"RYHOPE PUMPING STATION",,,,,,,,,,,,
Grid ref,NZ404524,Long,-1.372096,Lat,54.864757,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.63,1.48,0.70,2.42,1.76,0.21,2.17,0.33,1.02,0.58,,
February,5.23,2.02,1.42,1.04,2.19,0.52,1.05,1.02,1.01,1.46,,
March,2.35,2.14,0.69,1.16,1.85,1.23,1.02,0.88,2.48,4.25,,
April,0.69,0.93,1.56,1.71,0.83,2.75,1.64,2.21,2.61,2.40,,
May,1.44,2.05,2.29,2.59,2.81,0.66,5.21,4.37,1.31,1.65,,
June,3.13,1.48,2.21,2.88,1.40,0.82,1.00,2.53,0.75,2.39,,
July,2.06,2.07,2.33,4.03,1.67,0.90,1.01,1.24,2.55,2.55,,
August,5.31,2.32,1.60,2.33,3.30,2.63,2.24,1.69,1.36,3.38,,
September,0.62,0.96,0.80,2.64,0.72,1.93,0.42,0.32,1.74,2.01,,
October,6.75,1.61,1.99,8.11,0.57,2.90,4.60,3.40,1.04,1.94,,
November,2.72,5.21,1.27,2.41,2.30,4.70,2.90,1.38,1.38,1.07,,
December,2.11,2.91,2.51,1.71,1.96,0.39,1.70,2.79,0.99,3.63,,
Total,35.04,25.18,19.37,33.03,21.36,19.64,24.96,22.16,18.24,27.31,,
Calc annual,35.04,25.18,19.37,33.03,21.36,19.64,24.96,22.16,18.24,27.31,,
Difference,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
