"RYHOPE (PUMPING STATION)",,,,,,,,,,,,
Grid ref,NZ404524,Long,-1.372096,Lat,54.864757,,,,,,,
Station no,3547,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.47,2.12,0.90,2.78,1.58,3.04,1.27,1.48,2.89,4.46,,
February,2.18,0.53,1.71,2.20,2.41,1.33,1.80,3.89,0.61,1.82,,
March,3.57,1.28,0.05,1.31,1.37,0.99,1.08,3.55,0.50,1.64,,
April,1.27,1.52,2.38,0.41,0.81,1.00,0.38,1.48,1.49,0.78,,
May,4.90,1.78,2.02,2.30,1.59,0.47,1.26,2.65,0.40,1.90,,
June,1.49,0.95,2.10,1.91,2.43,3.04,1.87,2.44,1.83,0.17,,
July,1.48,0.81,3.14,1.57,1.01,2.82,2.45,2.79,0.74,3.62,,
August,4.32,1.76,3.79,4.58,0.72,8.02,3.38,2.37,0.21,2.09,,
September,0.80,4.31,1.24,1.96,0.88,1.77,3.41,1.64,0.51,1.77,,
October,1.08,2.45,1.40,3.73,1.33,1.52,1.59,1.12,0.99,6.28,,
November,5.15,3.17,1.21,3.25,1.79,0.98,1.18,0.63,3.22,2.50,,
December,2.55,2.47,0.93,1.76,2.72,2.22,1.29,3.30,2.78,1.80,,
Total,30.26,23.15,20.87,27.76,18.64,27.20,20.96,27.34,16.17,28.83,,
Calc annual,30.26,23.15,20.87,27.76,18.64,27.20,20.96,27.34,16.17,28.83,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
