"HARRIS ISLAND GLASS",,,,,,,,,,,,
Grid ref,NG247947,Long,-6.642704,Lat,57.856695,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.10,4.65,3.77,6.35,9.28,3.42,6.38,2.64,4.52,3.55,,
February,1.73,2.45,1.70,6.30,5.25,5.82,3.18,3.28,4.16,2.01,,
March,1.05,3.30,6.82,8.40,2.85,3.56,2.42,3.10,4.22,1.35,,
April,4.14,4.20,2.60,2.72,9.15,2.31,2.81,1.00,2.07,2.77,,
May,3.31,0.95,3.49,2.40,4.35,1.21,2.74,1.70,2.20,3.16,,
June,3.05,3.25,1.53,2.31,3.07,1.79,1.04,3.84,3.12,1.34,,
July,4.28,2.46,2.70,2.77,2.39,3.68,4.06,3.19,1.95,2.46,,
August,4.08,4.81,2.58,8.21,5.16,4.93,2.68,3.37,2.69,2.57,,
September,6.70,3.16,3.65,2.40,3.94,8.22,0.84,1.47,5.80,2.86,,
October,4.45,7.83,4.20,10.12,4.89,3.26,2.00,2.44,3.46,6.07,,
November,4.18,3.15,5.12,7.47,4.05,4.39,5.38,4.23,6.66,5.55,,
December,8.16,5.65,3.70,4.04,4.89,5.11,4.88,3.65,4.88,4.63,,
Total,51.23,45.86,41.86,63.49,59.27,47.70,38.41,33.91,45.73,38.32,,
Calc annual,51.23,45.86,41.86,63.49,59.27,47.70,38.41,33.91,45.73,38.32,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
