BODIAM SOUTH PARK,,,,,,,,,,,,
Grid ref,TQ7656626339,Long,0.515499,Lat,51.009334,,,,,,,
Station no,RR6720,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,2.66,4.91,1.21,4.63,0.99,1.89,0.96,,
February,,,,1.68,3.15,0.86,2.94,1.49,1.16,0.53,,
March,,,,3.19,1.65,4.29,2.02,0.90,2.54,3.61,,
April,,,,1.88,1.15,2.24,1.27,3.21,2.36,2.00,,
May,,,,2.19,2.34,1.75,2.39,2.77,1.31,1.24,,
June,,,,3.63,1.21,4.27,1.23,1.81,1.82,2.60,,
July,,,,4.26,1.72,0.93,0.50,1.78,2.80,4.11,,
August,,,,4.34,1.34,2.46,0.99,1.42,3.68,2.74,,
September,,,,3.38,1.28,2.83,1.78,0.85,1.65,3.64,,
October,,,,5.91,2.14,2.77,4.95,5.53,1.86,7.79,,
November,,,,2.41,1.45,4.49,6.97,2.82,1.10,1.03,,
December,,,,2.08,3.71,0.76,2.04,2.98,3.71,5.11,,
Total,,,,37.61,26.05,28.86,31.71,26.55,25.88,35.36,,
Calc annual,0.00,0.00,0.00,37.61,26.05,28.86,31.71,26.55,25.88,35.36,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
