BODIAM-SOUTH-PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ765262,Long,0.51449189,Lat,51.008105,Elevation,208,ft,,,,,,,,,,,,
Station no,RR6720,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,2.66,4.91,1.21,4.63,0.99,1.89,0.96,3.24,1.65,2.92,4.43,,,,,,
February,,,,1.68,3.15,0.86,2.94,1.49,1.16,0.53,3.72,1.54,2.65,1.16,,,,,,
March,,,,3.19,1.65,4.29,2.02,0.9,2.54,3.61,1.82,2.66,4.41,3.63,,,,,,
April,,,,1.88,1.15,2.24,1.27,3.21,2.36,2,1.55,1.94,0.1,3.62,,,,,,
May,,,,2.19,2.34,1.75,2.39,2.77,1.31,1.24,2.78,0.54,0.68,0.92,,,,,,
June,,,,3.63,1.21,4.27,1.23,1.81,1.82,2.6,1.5,2.14,3.31,0.53,,,,,,
July,,,,4.26,1.72,0.93,0.5,1.78,2.8,4.11,2.27,0.43,1.93,2.94,,,,,,
August,,,,4.34,1.34,2.46,0.99,1.42,3.68,2.74,1.87,2.24,7.47,2.38,,,,,,
September,,,,3.38,1.28,2.83,1.78,0.85,1.65,3.64,0.41,1.43,2.54,,,,,,,
October,,,,5.91,2.14,2.77,4.95,5.53,1.86,7.79,3.25,5.61,4.24,,,,,,,
November,,,,2.41,1.45,4.49,6.97,2.82,1.1,1.03,5.57,5.93,2.69,,,,,,,
December,,,,2.08,3.71,0.76,2.04,2.98,3.71,5.11,3.51,5.83,4.11,,,,,,,
Total,,,,37.61,26.05,28.86,31.71,26.55,25.88,35.36,31.49,31.94,37.05,,,,,,,
