KIRKBY LONSDALE BARBON MANOR - for Lord Shuttleworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD639828,Long,-2.5554,Lat,54.239615,Elevation,650,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,4.25,1.27,4.76,7.16,8.77,2.32,2.96,7.79,5.16,1.5,7.36,1.69,4.68,2.94,4.1,2.43,3.03,3.07,3.57,4.93,5.77,2.62,4.78,5.29,6.05,8.49,4.02,4.45,5.02,3.4,6.5,4.84,10.88,2.01,4.75,3.72,4.66,3.98,5.77,1.79,5.18,4.78,6,4.47,1.95,0.94,4.64,5.51,,,,,,,
February,,,,,,,2.41,4.32,3.58,3.12,4.1,1.37,1.84,4.71,3.06,1.75,2.85,1.75,3.33,2.46,5.96,7.16,2.82,2.82,4.43,6.77,4.27,1.45,6.02,1.54,5.3,0.63,4.08,4.58,1.27,5.53,6.87,2.93,6.08,0.93,0.33,4.91,0.24,3.6,0.21,6.18,2.11,6.37,2.22,4.14,2.16,3.97,1.53,2.44,,,,,,,
March,,,,,,,7.63,7.16,1.85,2.35,0.35,4.41,2.8,4.98,3.45,3.02,3.78,4.63,3.59,3.29,1.13,1.14,6.27,5.41,5.48,1.82,2.9,2.02,2.01,4.98,5.62,4.56,4,1.76,2.56,1.33,2.28,5.25,3.65,1.5,3.33,1.17,3.01,2.3,2.48,1.2,2.56,2.15,2.42,2.92,5.09,2.94,3.29,2.37,,,,,,,
April,,,,,,,1.91,2.65,4.2,5.11,3.26,3.29,2.04,2.06,4.39,3.85,1.78,2.26,2.59,3.73,2.46,4.02,1.01,5.27,1.06,3.12,2.83,1.91,1.39,2.24,6.07,1.42,2.46,3.64,2.69,3.81,2.04,2.66,1.96,1.82,2.53,3.47,3.22,2.24,3.17,3.41,1.24,3.17,0.69,2.47,1.05,2.17,1.58,3.01,,,,,,,
May,,,,,,,0.47,2.15,1.98,4.01,3.41,1.52,2.82,2.9,2.84,1.58,8.34,4.39,3.27,2.2,2.09,1.12,2.76,2.59,2.56,1.15,5.68,2.47,2.26,1.22,6.95,3.6,3.51,4.61,7.7,4.62,3.52,1.63,0.7,2.71,1.24,2.33,5.02,3.27,4.31,0.96,2.27,2.44,4.62,0.75,0.66,2.52,3.17,3.35,,,,,,,
June,,,,,,,5,4.25,3.91,1.97,4.04,2.55,1.11,2.29,3.05,2.35,2.56,8.65,3.73,2.75,2.43,4,8.38,3.76,0.47,1.66,3.25,3.3,2.17,1.84,3.3,0.29,3.82,1,3.72,0.37,4.75,5.63,10.55,2.41,3.22,7.26,1.92,2.15,3.3,4.26,3.91,2.52,5.02,4.85,1.01,0.67,1.24,4.93,,,,,,,
July,,,,,,,4.59,2.07,1.4,4.75,3.45,1.62,5.59,5.84,1.93,2.79,4.06,4.26,5.38,8.81,5.13,0.87,4.82,0.78,4.27,5.16,3.76,2.29,7.38,2.02,9.51,1.96,7.17,5.32,4.92,2.34,4.22,5.89,5.36,5.59,6.48,6.22,7.59,4.82,2.93,3.36,7.09,3.91,3.93,6.1,7.03,2.46,3.94,5.45,,,,,,,
August,,,,,,,2.57,7.05,6.89,1.72,5.66,3.66,2.89,9.28,4.12,5.97,6.32,5.08,4.38,4.7,8.71,3.98,8.27,2.14,3.09,4.77,4.76,9.95,5.76,4.34,3.84,8.33,5.34,8.65,4.48,4.79,4.39,8.78,9.35,7.67,6.68,4.02,2.13,2.59,4.93,2.76,3.51,3.25,4.74,2.88,1.7,5.41,3.85,6.08,,,,,,,
September,,,,,,,7.12,4.5,2.45,5.3,2.94,1.98,1.73,7,1.8,3.77,1.34,0.87,8.27,3.72,0.51,4.73,1.92,4.06,4.05,1.06,2.98,5,12.02,4.32,3.55,3.02,3.74,6.93,6.26,4.81,5.71,6.81,3.06,2.21,2.38,2.46,5.72,1.41,5.38,12.06,4.29,4.47,2.03,1.69,4.21,2.22,5.42,4.67,,,,,,,
October,,,,,,,4.29,2.18,4.27,3.74,8.86,4.68,3.75,8.83,2.66,3.11,8.16,4.5,2.77,7.65,2.59,4.77,5.23,2.98,1.77,1.43,9.86,5.45,6.82,3.13,1.23,3.35,1.23,7.27,5.71,5.67,4.12,4.77,5.57,7.47,8.34,3.34,7.46,5.05,7.72,6.63,5.07,1.67,12.52,1.3,5.59,8.68,6.04,6.68,,,,,,,
November,,,,,,,1.7,4.46,4.29,3.61,5.63,5.27,2.5,2.64,3.79,4.92,5.03,4.93,3.24,2.72,3.96,7.35,7.93,6.15,5.13,3.13,3.86,4.07,2.64,3.36,3.36,2.67,3.31,8.1,3.97,2.43,7.14,7.2,7.43,8.15,5.67,8.59,3.79,1.48,1.37,3.97,4.83,1.05,6.59,5.67,6.12,3.14,0.65,3.17,,,,,,,
December,,,,,,,7.83,6.76,5.64,3.86,8.04,5.73,3.48,4.41,4.26,2.84,2.78,5.21,3.54,8.63,4.8,7.29,5.98,3.04,5.41,7.29,4.29,2.1,7.53,5.83,5.17,7.68,6.01,4.43,8.71,3.95,1.26,1.19,4.32,7.74,4.46,3.43,4.62,0.92,6.99,2.08,5.37,3.17,4.58,3.03,4.49,2.81,3.41,2.69,,,,,,,
Total,,,,,,,49.77,48.82,45.22,46.7,58.51,38.4,33.51,62.73,40.51,37.45,54.36,48.22,48.77,53.6,43.87,48.86,58.42,42.07,41.29,42.29,54.21,42.63,60.78,40.11,59.95,46,48.69,60.74,57.01,43.05,52.8,57.58,68.91,50.21,49.41,50.92,49.38,33.81,48.56,48.66,47.43,38.95,55.36,40.27,41.06,37.93,38.76,50.35,,,,,,,
