NEWBURY-DONNINGTON-SQUARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU465679,Long,-1.3328411,Lat,51.408225,Elevation,282,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,5.97,0.97,3.8,0.48,1.24,1.64,2.88,2.99,2.82,3.76,2.93,0.89,0.9,3.44,1.95,0.59,2,2.69,3.13,0.63,2.39,0.57,
February,,,,,,,,1.72,1.93,4.8,4.06,3.65,2.29,5.04,1.57,3.71,0.89,0.84,1.38,2.39,0.87,0.01,1.13,3.99,1.52,0.13,0.37,2.83,1.59,
March,,,,,,,,2.4,1.37,0.86,1.7,2.12,1.1,0.87,2.07,1.95,1.74,1.98,3.71,2.26,1.33,1.97,0.78,0.23,1.94,1.81,3.51,4.56,1.07,
April,,,,,,,,3.39,2.82,3.9,1.83,0.64,4.9,1.1,1.93,2.54,1.99,1.25,2.3,3.02,1.7,1.17,0.86,0.05,2.19,1.6,0.49,1.66,1.64,
May,,,,,,,,2.21,3.52,3.56,0.49,1.32,1.89,1.81,0.47,2.07,4.15,1.51,1.9,3.07,2.05,2.83,1.27,1.02,2.06,0.53,0.29,1.38,2.78,
June,,,,,,,,1.97,2.63,5.32,2.99,2.17,2.59,2.83,2.45,1.59,1.29,1.54,2.13,1.83,1.91,0.98,1.59,0.8,2.34,0.7,2.25,1.86,1.43,
July,,,,,,,,3.27,1.22,3.55,4.14,2.2,2.58,2.59,2.06,0.23,2.85,1.32,5.28,2.78,3.87,3.07,2.91,2.67,3.36,3.98,0.84,0.94,0.39,
August,,,,,,,,3.75,4.95,6.1,0.76,6.93,2.38,0.88,1.28,1.69,1.25,2.21,1.47,2.44,2.58,5.37,3.69,1.49,2.06,3.41,2.78,3.13,0.87,
September,,,,,,,,1.76,0.94,3,4.23,1.37,2.89,4.82,1.44,3.84,1.84,2.01,1.63,1.36,1.33,1.38,2.44,0.9,2.95,1.13,5.48,3.76,1.05,
October,,,,,,,,1.73,3.18,0.93,5.7,1.85,7.07,2.41,1.06,4.49,4.01,1.86,1.37,3.65,1.02,9.04,3.86,3.71,4.46,2.67,2.96,1.23,,
November,,,,,,,,6.25,3.66,0.72,2.95,4,3.79,2.89,1.56,3.9,3.25,3.36,5.03,1.21,1.97,2.94,2.34,2.08,6.04,5.03,0.93,0.92,,
December,,,,,,,,2.05,1.56,1.19,3.43,3.08,2.92,0.66,2.82,1.26,4.27,1.87,1.96,1.68,0.98,4.8,0.9,3.41,2.49,1.8,3.88,4.19,,
Total,,,,,,,,36.47,28.75,37.73,32.76,30.57,36.04,28.78,21.7,30.09,31.29,22.68,29.05,26.59,23.05,35.51,22.36,22.35,34.1,25.92,24.41,28.85,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Donnington Square in the SW corner where altitudes match. Position could be up to 200m NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
