UPPER-USK-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SN815264,Long,-3.7246155,Lat,51.92347,Elevation,1090,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,4111/3/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,8.5,2.5,9.5,15.5,10.9,8.1,2.65,4.1,6.3,6,8,6,10.5,7.25,16,3.5,2.5,8.75,8,2,6,5.03,7.45,9.25,5.85,9,9.9
February,,,,0.75,8.5,3.75,9.75,3.2,6.2,3.7,9.3,0.5,4.5,2,7.5,6,2.5,4.25,3.2,10.75,7.5,2.75,3.8,7,2.84,0.75,8.95,10.2,0.75,9.65
March,,,,5,2,4,5.1,1.1,3.8,6,5,4.5,1.5,1,5,2.1,14,4.25,3.25,4,6.75,5.3,6.5,5.75,4.66,4.5,7.4,1.65,7.15,3.35
April,,,,5.25,8,3.4,3.75,0.27,4.1,3,1.6,3.2,2.5,3.5,3.75,2.25,7.1,3.5,7,6.25,5.5,5.3,5.9,1.5,3.83,1.25,0.65,1.45,7.05,5.35
May,,,,4,3.2,2.1,1.4,7.2,1.1,1.8,3.6,11.5,8,2.75,7,4.5,3.7,4.25,6.3,3,4.2,5.1,4.5,4.75,5.84,2.05,3.25,5.4,1.85,2.25
June,,,,2.25,7,4,2.5,3,4.7,1.3,1.2,0.2,5,3.75,6,4.75,3.5,5.75,1.2,3.39,1.55,4.5,2.75,7.42,6.68,3.99,1.45,4.45,3.55,2.15
July,,,,1.6,1.3,9,2.4,5.4,11.9,6.2,3.2,7.2,6,2.75,4.25,4,3.5,3.25,1.9,6.75,2.2,3.4,6.75,7,2.56,3.9,6.55,5.5,5.04,6.6
August,,,,5.2,3.4,1.3,1.3,4.1,4.2,0.7,7.3,6.2,6.5,3.5,8,8.5,0.8,7.5,4.5,9.75,9.5,6.75,6.7,6.63,1.14,8.4,6.7,4.55,1.15,5.5
September,,,,6.5,10.5,4.6,3.3,2.3,1.5,3,0.5,4,6.5,6.5,5,9.25,4.75,7.5,3,12,6.7,4.2,7.75,7.6,2.73,6.75,10.55,10.65,0.8,5.7
October,,,,8.5,9.25,4.1,4.7,8.9,3.35,7.9,7.5,6.75,7,10,7.5,2.6,1.75,7,11.5,4.75,1.75,7,7.1,13.12,5.05,3.5,5.8,7,9.65,8.5
November,,,,2.4,10.5,7.5,1.7,10.8,15,14.5,5.45,2,4.5,12,1.1,15,6.5,4.7,7.75,8.2,14.75,3.75,8.7,15.26,5.05,2.75,4.3,3.6,13.2,16.85
December,,,,17,5.5,13,1.2,6.8,4.8,5.1,5.5,13.5,3,5.5,9.5,6.25,6.9,17.25,8,5.25,9,6.75,2.8,6.85,9.5,7.95,6.6,6.5,13.75,10.65
Total,,,,66.95,71.65,66.25,52.6,63.97,68.75,55.85,54.25,65.85,61,61.25,70.6,75.7,62.25,85.2,61.1,76.59,78.15,62.8,65.25,88.88,54.91,53.24,71.45,66.8,72.94,86.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is adjacent to site of the reservoir. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jan to Mar 1947 readings have a comment ""…open to doubt… snow.."". Readings left in this record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"There are 6 gauges in the Upper Usk region and there is sigificant duplication of readings bewtween gauges 2, 3 and 4. This gauge has some duplications with the other gauges but this is probably coincidental.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
