BURNHAM OVERY NORFOLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF842426,Long,0.741,Lat,52.9494,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,2.44,2.2,0.81,0.45,2.29,1.83,1.18,1.82,1.7,2.44,1.45,0.94,0.23,0.4,1.84,2.08,1.66,2.22,2.52,1.13,0.3,1.03,1.73,0.88,0.71,1.4,1.87,3.91,1.27,1.63,1.35,2.09,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.32,1.7,0.79,0.77,0.95,1.99,1.13,1.59,2.61,2.78,0.74,1.97,1.87,2.88,0.7,2.31,0.69,2.05,0.44,0.56,2.29,0.9,0.82,0.74,2.41,2.92,1.49,1.07,0.58,2.64,1.27,0.9,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,2.8,1.89,1.67,1,1.61,1.67,0.74,0.45,2.56,1.55,0.72,0.77,1.01,1.9,1.1,1.85,0.8,0.91,1.89,2.1,1.91,1.41,3.15,1.56,1.04,0.44,0.9,2.53,3.47,2.56,1.98,1.6,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,1.99,1.1,0.76,2.62,2.43,1.37,1.32,0.8,4.87,2.55,0.72,2.2,2.07,0.75,2.05,1.78,1.33,0.88,1.64,0.64,1.37,1.76,1,1,2,0.13,1.86,1.16,1.49,1.86,1.21,2.01,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,0.2,3.47,0.67,1.1,1.72,2.81,0.78,1.09,0.55,1.11,3.76,2.18,1.1,0.87,1.38,1.71,0.86,2.21,2.76,2.23,0.81,3.16,1.71,3.17,2.19,0.87,2.31,1.5,0.88,1.24,3.05,2.44,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,0.35,1.11,2.05,2.33,1.64,1.22,1.5,2.28,2.4,0.82,2.86,3.87,3.4,1.53,3.83,3.75,0.61,1.96,0.54,0.25,1.13,0.94,3.61,3.25,2.17,1.85,4.03,1.23,1.49,2.15,3.32,0.5,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,0.29,0.77,1.12,2.75,4.14,1.84,0.42,9,3.33,2.57,1.2,4.13,3.92,1.57,1.7,2.11,3.44,1.02,3.24,0.93,5.03,2.74,3.15,3.04,2.82,3.73,3.45,2.73,2.89,1.12,0.75,2,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,3.64,1.5,1.84,0.36,6.46,2.02,1.81,1.91,2.69,3.1,4.22,1.35,2.31,3.93,1.86,1.95,1.11,0.79,2.42,2.32,3.79,4.27,2.97,4.53,2.14,1.27,2.15,3.62,3.34,3.13,3.3,0.77,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,1.41,3.13,1.47,4.8,2.64,2.01,1.92,2.01,4.75,2.32,2.58,2.62,3.61,2.74,2.86,4.4,2.23,3.68,1.24,2.49,1.81,2.97,0.4,1.27,2.47,0.81,1.53,0.52,4.39,5.15,0.13,4.82,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,3.32,1.44,2.67,1.7,2.79,1.96,1.58,1.97,0.56,1.69,2.68,1.66,5.17,2.44,4.2,3.72,2.83,5.96,2.33,4.07,1.57,3.98,1.11,4.03,7.34,2.49,3.1,3.02,3.42,0.94,2.37,2.69,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,1.62,1.93,1.58,1.58,3.92,1.24,2.39,5.07,2.53,2.78,6.72,0.44,2.54,2.03,3.26,1.28,1.5,2.14,2.76,2.16,2.24,1.97,2.04,2.15,1.7,3.89,2.98,2.81,1.1,0.51,2.3,1.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,4.06,4.19,3.1,1.17,3.08,0.59,3.42,2.06,3.08,1.96,2.15,0.98,2.22,2.13,2.94,2.1,2.83,1.3,4.22,1.57,0.95,1.39,0.87,3.09,1.08,1.67,2.71,2.1,3.27,2.58,2.11,2.01,3.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,23.44,24.43,18.53,20.63,33.67,20.55,18.19,30.05,31.63,25.67,29.8,23.11,29.45,23.17,27.72,29.04,19.89,25.12,26,20.45,23.2,26.52,22.56,28.71,28.07,21.47,28.38,26.2,27.59,25.51,23.14,23.63,26.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
