"SHIPLEY MOOR HEAD",,,,,,,,,,,,
Grid ref,SE132370,Long,-1.800934,Lat,53.829099,,,,,,,
Station no,RR1527,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.37,1.80,,,,,,,,,,
February,3.53,0.93,,,,,,,,,,
March,0.67,2.28,,,,,,,,,,
April,1.31,2.45,,,,,,,,,,
May,0.70,1.16,,,,,,,,,,
June,2.59,0.64,,,,,,,,,,
July,4.07,1.46,,,,,,,,,,
August,5.37,1.51,,,,,,,,,,
September,0.63,1.18,,,,,,,,,,
October,4.32,1.62,,,,,,,,,,
November,3.29,4.01,,,,,,,,,,
December,3.56,4.04,,,,,,,,,,
Total,34.41,23.08,,,,,,,,,,
Calc annual,34.41,23.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
