EDENDON BRIDGE,,,,,,,,,,,,
Grid ref,NN715706,Long,-4.106282,Lat,56.809108,,,,,,,
Station no,5564/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.46,4.86,0.77,5.15,1.99,4.09,9.03,2.53,3.22,,,
February,3.10,2.00,1.33,1.20,3.46,2.66,5.16,-999.00,2.18,,,
March,1.47,6.15,1.51,2.15,0.79,3.42,3.97,-999.00,3.24,,,
April,3.29,1.12,1.67,0.71,1.49,1.53,1.67,-999.00,3.27,,,
May,1.16,4.11,2.18,5.80,2.83,3.45,2.20,3.79,1.79,,,
June,1.75,3.78,2.15,1.33,1.39,2.91,2.00,2.09,1.45,,,
July,4.00,1.57,2.69,1.74,0.72,4.45,5.47,3.59,3.64,,,
August,6.68,4.47,1.39,6.01,1.59,5.48,3.56,4.67,,,,
September,2.14,2.48,4.12,4.45,3.42,6.65,2.37,5.61,,,,
October,1.36,5.79,2.21,8.78,4.22,4.12,4.35,4.19,,,,
November,9.94,2.15,7.76,8.05,2.34,1.91,1.13,1.50,,,,
December,3.76,3.45,2.85,9.59,10.58,7.84,7.19,5.02,,,,
Total,41.11,41.93,30.63,54.96,34.82,48.51,48.10,,,,,
Calc annual,41.11,41.93,30.63,54.96,34.82,48.51,48.10,32.99,18.79,0.00,,
Difference,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
