EDENDON BRIDGE (NEW SITE),,,,,,,,,,
Grid ref,NN715706,Long,-4.106282,Lat,56.809108,Elevation,1040,ft,,
Station no,5564/4/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.04,4.92
February,,,,,,,,,2.39,4.76
March,,,,,,,,,3.51,2.17
April,,,,,,,,,3.43,4.41
May,,,,,,,,,1.84,3.32
June,,,,,,,,2.25,1.6,1.96
July,,,,,,,,3.79,3.92,2.62
August,,,,,,,,4.84,2.02,2.78
September,,,,,,,,5.87,1.15,3.66
October,,,,,,,,4.32,6.64,3.84
November,,,,,,,,1.55,5.7,4.74
December,,,,,,,,5.14,8.16,6.96
Total,,,,,,,,,43.4,46.14
,,,,,,,,,,
Station no,5564/4/1,,,,,,,,,
Midas,15177,,,,,,,,,
Hyd Stn,867990,,,,,,,,,
