AUT A BHALACHAIN (SOUR MILK),,,,,,,,,,
Grid ref,NN279051,Long,-4.776223,Lat,56.207275,Elevation,1150,ft,,
Station no,5437/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,16.1,8.65,12.89,18.28,17.06,5.48,8.04
February,,,,9.14,3.05,6.64,7.28,6.31,6.79,10.13
March,,,,9.14,3.07,6.67,11.88,3.87,9.14,3.99
April,,,,7.51,8.99,5.43,6.03,5.14,9.55,13.37
May,,,,5.9,7.36,10.43,4.98,8.32,2.79,5.63
June,,,,10.79,9.09,8.02,5.3,3.93,7.92,6.73
July,,,,9.3,1.33,10.42,12.59,7.24,13.4,9.92
August,,,,10.82,2.18,8.67,11.63,12.28,8.37,6.8
September,,,,18.65,11.6,11.65,10.11,9.67,3.57,6.1
October,,,,19.67,9.05,9.62,17.46,12.22,13.87,5.73
November,,,,21.6,5.66,9.45,6.28,4.6,13.15,13.81
December,,,,29.44,19.31,22.54,17.49,12.45,19.37,15.39
Total,,,,168.06,89.34,122.43,129.31,103.09,113.4,105.64
,,,,,,,,,,
BR1955 NP Low,,,,,,,,,,
,,,,,,,,,,
Station no,5437/2,,,,,,,,,
Midas,13782,,,,,,,,,
Hyd Stn,665369,,,,,,,,,
