"HERRINGFLEET HOUSE",,,,,,,,,,,,
Grid ref,TM463986,Long,1.629824,Lat,52.529539,,,,,,,
Station no,1380,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.35,2.75,1.23,2.23,1.87,3.91,1.53,2.25,3.01,4.55,,
February,3.84,1.26,1.79,2.25,2.08,2.50,2.19,3.45,0.20,1.33,,
March,3.27,2.78,0.48,2.37,1.87,0.86,2.02,1.97,0.75,1.29,,
April,4.00,1.13,2.61,0.37,0.46,0.85,0.60,1.62,2.37,0.79,,
May,1.90,1.48,1.20,1.83,1.99,0.80,1.89,3.03,0.40,0.31,,
June,1.53,1.34,1.56,2.57,2.30,2.07,2.83,4.01,0.42,1.24,,
July,3.11,1.63,2.56,2.32,0.29,2.39,3.16,2.78,0.77,2.58,,
August,2.95,4.49,2.38,4.66,1.38,3.40,2.27,3.33,2.32,3.67,,
September,2.07,3.31,2.40,1.68,1.32,1.58,3.16,1.88,0.29,4.47,,
October,0.73,2.37,2.31,2.59,4.53,3.61,1.47,2.28,2.67,7.26,,
November,3.78,4.25,1.34,4.52,0.91,1.33,2.33,1.01,2.88,3.39,,
December,1.72,3.42,1.07,2.25,1.65,1.38,2.31,3.08,2.92,3.91,,
Total,31.25,30.21,20.93,29.64,20.65,24.68,25.76,30.69,19.00,34.79,,
Calc annual,31.25,30.21,20.93,29.64,20.65,24.68,25.76,30.69,19.00,34.79,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
