DONCASTER HATFIELD,,,,,,,,,,,,,,,,,,,,
Grid ref,SE722095,Long,-0.91104918,Lat,53.577138,Elevation,12,ft,,,,,,,,,,,,
Station no,RR2989,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,0.43,1.94,2.09,2.11,1,3,1.45,0.29,1.53,1.88,1.11,,,,,,,,
February,,2.4,1.12,2.08,0.91,1.61,0.26,0.35,1.3,1,0.64,0,,,,,,,,
March,,2.08,1.44,0.95,1.31,0.45,1.59,1.14,1.85,2.9,1.51,1.55,,,,,,,,
April,,0.84,2.76,1.35,0.7,1.8,1.29,0.9,1.26,1.81,0.53,1.07,,,,,,,,
May,,0.75,1.48,2.45,0.65,1.36,4.86,1.53,0.6,2.76,2.21,2.66,,,,,,,,
June,,1.67,3.31,2.04,0.54,2.6,0.85,0.08,1.76,0.33,2.3,2.2,,,,,,,,
July,,1.37,3.24,2.55,2.7,0.86,3.06,1.38,6.73,1.08,2.6,3.05,,,,,,,,
August,,4.65,1.88,0.98,1.59,1.25,2.25,3.22,2.11,3.19,3.03,2.82,,,,,,,,
September,,1.83,2.24,5.8,1.32,1.55,0.62,1.83,1.45,1.25,1.45,1.52,,,,,,,,
October,,1.42,4.43,2.16,0.65,4.25,3.11,2.04,0.74,3.41,0.94,3.11,,,,,,,,
November,,1.67,2.43,2.75,0.51,1.66,0.98,1.22,3.03,0.47,3.95,2.58,,,,,,,,
December,,1.79,3.7,0.87,1.18,0.58,3.8,0.55,1.64,0.77,0.6,2.57,,,,,,,,
Total,,20.9,29.97,26.07,14.17,18.97,25.67,15.69,22.76,20.5,21.64,24.24,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Observer T(homas) Akren. Farmer of 900 acres living at Elder House, Hatfield,Thorne in 1881 census",,,,,,,,,,,,,,,,,,,,
NGR for Elder House,,,,,,,,,,,,,,,,,,,,
