"CANNOCK",,,,,,,,,,,,
Grid ref,SJ975090,Long,-2.038413,Lat,52.678694,,,,,,,
Station no,2339/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.97,2.16,0.94,1.22,,3.32,1.06,1.69,2.90,4.46,,
February,2.31,0.63,1.35,2.01,,0.46,1.96,3.64,0.28,1.74,,
March,4.09,1.65,1.05,1.65,,0.76,1.97,1.33,1.84,1.88,,
April,2.07,1.76,2.51,0.40,,1.29,0.31,0.66,2.77,1.27,,
May,3.20,2.99,1.96,2.12,,0.75,0.93,2.20,0.83,1.40,,
June,1.24,1.94,2.59,3.04,,1.68,1.51,4.02,0.82,2.71,,
July,0.92,0.83,2.53,3.51,,1.48,3.23,6.12,1.78,3.33,,
August,4.29,2.31,2.38,4.58,,4.88,4.63,2.88,1.51,2.94,,
September,1.63,1.17,2.23,2.04,,2.39,5.16,3.55,0.19,5.55,,
October,0.64,3.75,1.82,3.28,,1.73,1.53,1.97,2.32,5.19,,
November,5.85,1.82,1.45,4.38,,0.78,2.02,1.89,3.58,3.48,,
December,2.32,3.22,1.41,3.04,,2.78,1.08,2.85,3.14,2.93,,
Total,30.53,24.23,22.22,31.27,,22.30,25.39,32.80,21.96,36.88,,
Calc annual,30.53,24.23,22.22,31.27,0.00,22.30,25.39,32.80,21.96,36.88,,
Difference,0.00,0.00,0.00,0.00,NaN,-0.00,0.00,0.00,0.00,0.00,,
