CANNOCK-LONGFORD-ROAD-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ975090,Long,-2.0384133,Lat,52.678694,Elevation,405,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2339/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.63,1.91,0.66,2.67,2.7,2.57,4.58,,3.16,2.21,3.85,2.35,1.65,2.03,1.76,4.17,1.45,0.72,1.97,2.16,0.94,1.22,,3.32,1.06,1.69,2.9,4.46
February,,,3.02,0.33,2.19,2.24,3.17,0.54,0.86,2.01,1.88,0.85,0.8,1.62,1.87,2.78,2.51,0.9,0.55,4.24,2.31,0.63,1.35,2.01,,0.46,1.96,3.64,0.28,1.74
March,,,2.72,2.39,0.52,1.52,2.12,0.46,1.14,1.76,2.59,1.44,0.77,0.41,0.91,0.81,4.89,1.07,1.5,0.66,4.09,1.65,1.05,1.65,,0.76,1.97,1.33,1.84,1.88
April,,2.87,0.61,1.82,2.63,1.88,2.11,0.12,1.81,3.09,1.65,0.82,0.99,1.63,1.73,1.36,1.65,1.81,2.26,1.69,2.07,1.76,2.51,0.4,,1.29,0.31,0.66,2.77,1.27
May,,5.66,1.17,1.16,0.74,0.94,2.5,1.36,1.48,2.32,2.73,2.58,3.01,0.99,4.23,1.86,2.58,1.74,2.2,1.08,3.2,2.99,1.96,2.12,,0.75,0.93,2.2,0.83,1.4
June,,0.56,2.71,0.86,2.97,3.73,0.79,1.69,0.97,0.88,0.76,0.79,1.32,1.69,2.19,2.43,2.02,3.74,0.38,1.08,1.24,1.94,2.59,3.04,,1.68,1.51,4.02,0.82,2.71
July,,4,2.43,1.08,0.37,5.09,2.44,3.22,4.74,2.38,3.48,1.43,1.18,2.42,1.98,1.53,3.2,1.72,1.68,1.35,0.92,0.83,2.53,3.51,,1.48,3.23,6.12,1.78,3.33
August,,1.8,0.84,2.36,1.76,0.6,0.65,3.06,3.96,0.25,3.84,1.03,1.54,1.85,2.08,5.84,1.27,4.98,1.16,2.62,4.29,2.31,2.38,4.58,,4.88,4.63,2.88,1.51,2.94
September,,2.33,0.65,1.73,2.86,2.72,2.74,2.88,1.17,0.68,0.32,1.1,2.58,2.79,1.47,3.59,1.22,2.5,1,3.26,1.63,1.17,2.23,2.04,,2.39,5.16,3.55,0.19,5.55
October,,4.66,4.26,1.63,2.88,1.54,2.14,1.74,3.64,2.98,2.25,2.27,1.57,2.79,3.48,0.86,1.13,2.18,3.99,0.81,0.64,3.75,1.82,3.28,,1.73,1.53,1.97,2.32,5.19
November,,1.7,1.01,1.91,4.59,2.46,1.33,2.45,3.47,5.9,2.9,0.99,1.68,3.35,0.24,4.77,1.88,1.57,2.94,3.49,5.85,1.82,1.45,4.38,,0.78,2.02,1.89,3.58,3.48
December,,0.82,0.31,3.82,2.72,1.48,2.41,2.98,1.53,1.95,1.37,2.61,0.75,1.39,2.01,2.52,1.98,3.6,1.42,1.82,2.32,3.22,1.41,3.04,,2.78,1.08,2.85,3.14,2.93
Total,,,21.36,21,24.89,26.87,25.1,23.07,29.35,,26.93,18.12,20.04,23.28,23.84,30.38,26.09,29.98,20.53,22.82,30.53,24.23,22.22,31.27,,22.3,25.39,32.8,21.96,36.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is a Sewage Works on Longford Road. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
