BRIXHAM COMBE BANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX917558,Long,-3.524923,Lat,50.392078,Elevation,115,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,4.18,5.58,1.78,4.85,6.96,6.13,4.15,6.69,2.84,6.75,3.55,4.93,2.98,4.08,0.45,7.95,6.94,5.61,6.81,2.97,5.4,5.71,9.64,3.22,2.84,5.5,4.01,7.31,1.03,1.22,4.51,9.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,0.22,3.62,7.62,1.85,5.49,3.38,3.81,3.04,3.51,1.61,2.3,0.01,5.19,0.14,4.2,3.81,8.02,1.4,2.24,5.23,5.62,0.28,1.76,0.54,3.08,4.02,2.97,1.58,1.92,7.41,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,2.19,3.79,2.44,3.11,0.3,1.01,4.35,3.88,0.4,2.64,2.54,2.77,4.26,4.14,1.42,5.49,6.09,0.13,1.47,3.83,3.57,3.48,1.1,0.09,1.37,2.15,13.04,1.87,1.22,2.71,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,0.54,5.25,3.58,3.5,2.8,2.73,2.34,2.46,0.96,2.84,3.47,3.57,1.99,3.52,4.86,2.88,3.64,0.08,2.47,4.51,1.63,2.54,1.26,2.63,0.77,2.5,2.83,3.2,1.84,2.55,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,2.79,0.68,1.9,5.02,4.4,1.51,0.48,1.29,3.21,1.52,2.53,4.43,1.2,1.13,2.82,1.27,3.48,2.97,0.65,1.81,2.3,7.06,4.18,0.36,4.54,6.32,2.18,2.88,3.18,3.88,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,0.1,0.64,0.24,2.37,0.01,3.91,2.77,2.21,2.77,0.44,3.65,3.82,2.04,1.55,5.49,1.32,1.19,0.92,4.11,0.84,2.97,0.43,1.3,2.86,3.32,3.16,3.4,2.64,0.6,0.59,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,0.4,4.68,1.17,5.14,3.15,1.02,3.51,2.25,1.25,2.56,4.36,1.85,2.83,0.45,0.37,5.52,1.46,4.04,7.56,2.78,0.91,2.05,2.87,3.89,1.96,1.72,2.06,0.96,1.63,5.83,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,2.28,4.59,2.72,2.45,2.97,1.23,4.42,2.87,2.27,4.16,4.32,1.93,1.16,2.96,2.34,0.27,1.34,6.63,2.29,0.06,4.59,4.89,2.79,3.69,3.35,5.3,1.27,3.46,1.82,4.31,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,1.27,3.38,3.18,5.41,4.35,0.8,5.3,2.89,0.26,3.84,1.74,5.62,3.97,3.47,4.55,2.62,2.48,1.85,1.08,1.67,1.85,2.86,4.14,2,3.63,6.41,1.83,2.26,3.05,4.53,5.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,1.09,2.26,7.62,7.3,4.45,4.11,3.18,6.44,4.8,3.75,0.52,7.26,2.16,2.76,4.52,1.13,3.56,4.87,6.44,4.97,1.48,4.99,4.05,5.06,5.39,1.73,1.2,3.05,8.25,1.95,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
