WYBUNBURY-THE-CLIFFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ705493,Long,-2.4414213,Lat,53.040152,Elevation,150,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2762/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.06,2.22,2.39,4.49,3.19,2.14,2,1.72,4.95,1.84,0.7,1.84,,,,,,,,,
February,,,,,,,,,,1.75,2.76,1.48,1.05,1.23,2.32,,0.98,1.74,1.02,4.58,1.87,,,,,,,,,
March,,,,,,,,,,2.48,2.66,1.56,0.85,0.76,1.12,0.84,4.52,0.98,1.8,0.98,4.22,,,,,,,,,
April,,,,,,,,,,1.87,1.69,1.1,1.34,1.3,1,0.89,2.56,2.02,2.55,3.04,1.93,,,,,,,,,
May,,,,,,,,,,2.15,2.78,4.39,2.35,1.93,3.42,1.65,3.11,1.36,2.51,1.07,2.95,,,,,,,,,
June,,,,,,,,,,1.28,0.82,0.56,2.62,2.6,1.89,2.13,1.32,3.75,0.61,0.94,1.2,,,,,,,,,
July,,,,,,,,,,4.03,1.99,2.34,1.84,1.99,0.88,3.49,2.28,2.28,1.42,2.9,2.91,,,,,,,,,
August,,,,,,,,,,0.54,3.76,2.17,3.06,2.01,3.19,4.14,0.43,3.41,1.67,4.05,4.22,,,,,,,,,
September,,,,,,,,,,2.38,0.97,2.23,3.56,3.37,1.29,2.94,1.26,1.68,0.67,4.01,1.96,,,,,,,,,
October,,,,,,,,,,3.51,3.7,2.5,2.62,3.92,5.36,0.46,0.45,1.66,3.07,1.1,0.91,,,,,,,,,
November,,,,,,,,,,7.05,2.51,0.65,2.53,4.85,0.55,4.1,2.53,1.72,3.61,3.39,6.2,,,,,,,,,
December,,,,,,,,,,2.51,1.4,2.5,1.33,1.57,2.28,3.16,2.34,3.17,2.69,3.2,3.27,,,,,,,,,
Total,,,,,,,,,,31.61,27.26,23.87,27.64,28.72,25.44,,23.5,28.72,23.46,29.96,33.48,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the records and is the Cliff. Stated altitude is 40 ft too low or gauge is 100m W. gauge moved to vicarage in 1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
