"WYBUNBURY (VICARAGE)",,,,,,,,,,,,
Grid ref,SJ700498,Long,-2.448925,Lat,53.044618,,,,,,,
Station no,2762/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.84,,,1.89,2.41,4.05,1.39,2.17,3.08,,,
February,1.87,,,2.21,1.57,0.37,1.81,3.17,0.42,,,
March,4.22,,,2.37,2.41,1.35,1.59,1.04,1.15,,,
April,1.93,,,0.53,1.35,1.37,0.29,0.83,3.75,,,
May,2.95,,,2.24,2.47,0.57,0.87,2.42,1.15,,,
June,1.20,,,4.22,2.53,1.98,1.36,4.63,1.52,,,
July,2.91,,,3.22,0.66,4.50,4.31,3.30,1.96,,,
August,4.22,,2.56,3.59,1.42,5.07,2.59,1.79,0.89,,,
September,1.96,,1.72,2.42,2.58,1.22,3.03,3.08,0.14,,,
October,0.91,,2.32,5.46,1.89,1.88,1.78,2.34,2.26,,,
November,6.20,,1.60,4.48,1.45,0.50,1.41,0.91,2.95,,,
December,3.27,,1.26,3.42,2.45,2.63,1.14,1.99,3.80,,,
Total,33.48,,,36.05,23.19,25.49,21.57,27.67,23.07,,,
Calc annual,33.48,0.00,9.46,36.05,23.19,25.49,21.57,27.67,23.07,0.00,,
Difference,0.00,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,,
