WYBUNBURY-VICARAGE,,,,,,,,,,
Grid ref,SJ700498,Long,-2.4489249,Lat,53.044618,Elevation,200,ft.,,
Station no,2762/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.89,2.41,4.05,1.39,2.17,3.08,
February,,,,2.21,1.57,0.37,1.81,3.17,0.42,
March,,,,2.37,2.41,1.35,1.59,1.04,1.15,
April,,,,0.53,1.35,1.37,0.29,0.83,3.75,
May,,,,2.24,2.47,0.57,0.87,2.42,1.15,
June,,,,4.22,2.53,1.98,1.36,4.63,1.52,
July,,,,3.22,0.66,4.5,4.31,3.3,1.96,
August,,,2.56,3.59,1.42,5.07,2.59,1.79,0.89,
September,,,1.72,2.42,2.58,1.22,3.03,3.08,0.14,
October,,,2.32,5.46,1.89,1.88,1.78,2.34,2.26,
November,,,1.6,4.48,1.45,0.5,1.41,0.91,2.95,
December,,,1.26,3.42,2.45,2.63,1.14,1.99,3.8,
Total,,,,36.05,23.19,25.49,21.57,27.67,23.07,
