STRATHBLANE CRAIGBARNET,,,,,,,,,,,,
Grid ref,NS595790,Long,-4.253525,Lat,55.983344,,,,,,,
Station no,RR8788,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,4.30,5.00,10.30,,,6.60,,7.50,4.25,,
February,-999.00,1.70,2.50,10.70,,,4.10,,4.00,2.75,,
March,,2.80,4.60,10.10,,,5.90,,5.00,4.50,,
April,6.00,3.80,2.60,2.00,,,3.20,,1.00,3.20,,
May,,2.20,1.70,,,,4.60,5.00,3.50,4.25,,
June,-999.00,3.50,2.00,8.30,,,1.90,6.50,3.25,3.20,,
July,4.70,2.90,3.80,5.90,,,3.10,2.70,3.75,5.20,,
August,4.50,5.30,3.60,8.00,6.00,,5.40,6.20,4.75,4.20,,
September,4.00,4.80,3.30,5.00,5.80,,2.40,2.70,9.20,2.75,,
October,10.00,4.10,3.50,11.90,2.90,,7.20,7.20,2.20,8.20,,
November,7.50,7.00,4.00,3.90,3.00,,4.90,4.20,4.75,3.00,,
December,10.00,7.40,6.80,5.40,6.10,,5.20,8.50,5.20,8.00,,
Total,65.50,49.80,43.40,81.50,,,54.50,,54.10,53.50,,
Calc annual,46.70,49.80,43.40,81.50,23.80,0.00,54.50,43.00,54.10,53.50,,
Difference,18.80,0.00,0.00,-0.00,NaN,NaN,0.00,NaN,-0.00,0.00,,
