STRATHBLANE CRAIGBARNET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS595790,Long,-4.253525,Lat,55.983344,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR8788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,4.3,5,10.3,,,6.6,,7.5,4.25,7.5,5.5,4,5.2,4.8,3.8,8.3,3.6,5.4,5.5,8.6,9.2,5.6,,,,,,,,
February,,1.7,2.5,10.7,,,4.1,,4,2.75,5.25,9.5,3.3,4,5.4,6.9,5.5,0.5,8.2,0.9,9,2,5.1,,,,,,,,
March,,2.8,4.6,10.1,,,5.9,,5,4.5,2.75,3,7.1,7.4,5.7,3.2,2.5,2.8,1.7,4.4,5,7.9,3.3,,,,,,,,
April,6,3.8,2.6,2,,,3.2,,1,3.2,6,4.2,2.2,3.4,3.2,3.8,4,2,1,2.2,2.4,1.5,3.3,,,,,,,,
May,,2.2,1.7,,,,4.6,5,3.5,4.25,2.75,3,2.2,3.7,2.8,1.2,6,3.3,1.7,0.6,6.75,2.7,5.3,,,,,,,,
June,,3.5,2,,,,1.9,6.5,3.25,3.2,1.75,3.1,6.2,3.6,0.8,2.3,3,3.3,1.4,4.1,2.5,0.3,2,,,,,,,,
July,4.7,2.9,3.8,5.9,,,3.1,2.7,3.75,5.2,5.75,3.75,2.7,1.2,3,6.5,2.5,2.1,3.6,1.4,4.2,4.7,3.7,,,,,,,,
August,4.5,5.3,3.6,8,6,,5.4,6.2,4.75,4.2,10.2,4.3,4.4,2.2,6.2,2.3,2.3,6.5,4.2,3.9,6,8.3,3.6,,,,,,,,
September,4,4.8,3.3,5,5.8,,2.4,2.7,9.2,2.75,2,2.2,3.4,2.5,2.7,2,1.3,4.6,4.1,4.6,4,3.4,3.4,,,,,,,,
October,10,4.1,3.5,11.9,2.9,,7.2,7.2,2.2,8.2,3.2,5,7.5,2.5,2,4.4,8,8.5,6.8,1.2,1.9,5.2,3.5,,,,,,,,
November,7.5,7,4,3.9,3,,4.9,4.2,4.75,3,3.5,8.2,5.8,7.5,6.8,3.5,8,10,6.5,5.4,5.7,4.1,4.2,,,,,,,,
December,10,7.4,6.8,5.4,6.1,,5.2,8.5,5.2,8,5.75,8.5,9.9,5.6,8.7,6.3,10,3.8,5.5,8.6,5.9,9.5,4.7,,,,,,,,
Total,,49.8,43.4,,,,54.5,,54.1,53.5,56.4,60.25,58.7,48.8,52.1,46.2,61.4,51,50.1,42.8,61.95,58.8,47.7,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1900 P too much apptd Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1901 P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1902 P ? Ja has ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1903 P May Jun + T  Deleted ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1906 P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1909 P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR8788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
