CORRANY WEIR,,,,,,,,,,
Grid ref,SC439894,Long,-4.398963,Lat,54.276342,Elevation,550,ft,,
Station no,4418/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,6.76
February,,,,,,,,,,9.95
March,,,,,,,,,,3.02
April,,,,,,,,,,5.98
May,,,,,,,,,,2.8
June,,,,,,,,,,2.93
July,,,,,,,,,,10.06
August,,,,,,,,,,3.43
September,,,,,,,,,,6.25
October,,,,,,,,,,7.38
November,,,,,,,,,,13.57
December,,,,,,,,,,6.79
Total,,,,,,,,,,78.92
,,,,,,,,,,
MAN: CORRANY WEIR ,01/01/1960,31/12/1977,,,,,,,,
