HENLEY-ON-THAMES-HART-STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU761825,Long,-0.904199,Lat,51.536284,Elevation,110,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,0.7,2.89,1.38,1.68,2.97,3.6,2.55,2.32,3.06,1.7,3.24,1.9,2.85,2.43,3.81,1.07,3.55,1.29,1.74,2.26,1.77,0.65,4.23,4.35,2.66,5.08,2.74,2.76,3.02,4.72,1.66,1.68,1.96,2.08,5.4,1.09,0.64,2.67,1.8,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,2.46,3.84,4.18,1.08,1.29,2.8,0.37,0.18,2.6,3.61,0.36,3.33,2.29,3.97,1.99,0.73,0.68,1.57,0.12,3.05,0.07,2.35,1.93,4.87,0.39,1,2.38,2.41,0.75,1.4,1.13,1.98,2.31,1.58,0.91,1.29,4.1,5.01,0.69,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,4.37,1.22,4.99,1.73,0.79,4.87,1.73,0.87,1.88,2.8,1.16,0.59,0.25,2.6,2.01,0.05,0.89,0.09,1.48,2.89,2.1,0.45,1.96,3.3,0.3,1.21,2.38,2.68,1.9,0.5,0.17,0.7,0.97,5.65,0.69,1.76,0.87,4,2.23,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,0.88,0.87,0.94,2.22,3.28,2.95,3.55,0.98,2.98,2.76,2.91,1.72,2.43,1.46,1.58,0.92,1.92,3.16,2.2,1.22,1.37,3.33,1.59,3,0.03,3.33,2.28,1.63,1.29,0.85,1.31,1.13,2.07,1.93,1.88,1.32,1.86,3.15,1.45,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,1.3,3.01,1.71,1.36,1.81,0.25,1.88,0.99,1.14,1.56,4.12,2.65,1.87,1.22,1.11,1.09,1.6,2.94,4.45,1.83,0.57,1.33,0.69,2.84,1.81,1.41,1.3,2.06,3.24,2.03,1.01,1.86,4.25,1.56,2.8,2.52,1.33,2.42,2.81,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,1.87,1.41,1.99,2.2,0.77,1.01,2.63,0.25,1.25,0.35,2.61,0,2.55,2.75,2.68,0.75,0.17,1.16,1.08,1.85,1.44,3.59,2.92,1.93,0.53,1.4,0.94,2.34,0.5,1.38,1.4,2.37,2.82,1.49,1.86,0.83,1.47,1.08,1.29,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,2.63,4.92,1.65,4.19,5.01,1.9,5.91,0.15,3.85,1.62,4.01,3.81,1.84,2.63,2.45,1.28,2.29,4.54,1.72,1.67,1.71,0.45,3.07,1.68,1.39,3.26,2.61,5.29,2.01,2.45,1.87,2.18,2.03,1.9,1.04,2.25,5.28,0.94,0.38,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,1.69,2.45,4.31,4.3,1.41,2.66,1.41,1.41,3.29,2.24,2.45,4.82,0.97,2.95,3.05,0.95,2.83,4.21,2.57,0.48,2.23,1.76,0.33,1.17,2.54,2.03,0.03,4.48,2.19,1.49,1.74,1.78,3.8,0.22,4.11,0.97,3.88,4.63,2.54,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,0.86,2.82,1.04,1.96,5.37,2.53,1.67,2.59,1.9,2.1,3.36,2.91,1.07,4.69,1.14,0.63,2.93,1.57,2.41,2.55,1.62,4.08,2.37,2.3,1.12,0.7,1.39,0.11,1.13,1.17,2.17,1.99,3.51,1.13,2.41,1.37,3.01,3.21,2.8,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,1.94,3.01,4.65,4.42,1.56,1.15,2.18,1.42,0.88,5,3.81,3.35,2.23,2.07,4.07,3.03,0.91,0.6,3.98,1.55,1.47,3.12,1.75,2.84,3.18,5.26,3.17,0.96,3.41,3.1,3.57,3.17,1.49,0.34,2.6,6.85,0.57,1.05,3.76,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
