BLACKMOORFOOT SLAITHWAITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE096130,Long,-1.856365,Lat,53.613464,Elevation,800,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,4.41,3.44,5.19,1.64,6.15,4.47,1.34,0.54,0.44,4.31,6.84,7.86,2.83,6.06,2.3,1.76,2.33,6.32,3.59,4.1,1.3,5.4,3.4,1.81,2.59,3.52,8.34,6.7,2.7,4.09,6.09,5.57,2.6,6.65,2.4,4.65,4.24,8.09,2.99,5.56,4.41,4.17,7.27,5.35,3.46,4.01,6.19,4.93,7.52,4.61,3.16,3.42,5.56,4.3,4.39,10.11,1.65,6.11,4.66,5.99,4.41,3.86,2.65,4.89,4.93,6.54,5.77,3.36,4.04,3.5,6.6,8.1,5.19,6.34,4.9,9.93,2.51,3,4.9,5.67,2.03,3.7,3.12,5.45,4.4,5.73,5.73,6.74
February,,,,0.66,1.7,1.5,4.36,4.17,1.59,3.59,3.86,5.19,3.05,2.75,3.22,4.66,0.66,1.19,1.53,4.14,0.88,0.34,3.07,6.23,8.88,0.72,2,4.9,5.01,2.1,4.95,1.79,1.34,6.22,6.44,3.25,4.59,4.13,5,3.38,5.26,5.86,2.14,1.77,3.17,6.04,8.32,0.84,7.45,2.1,5.49,0.51,4.81,5.78,2.17,6.55,4.03,1.27,5.61,0.43,1.05,6.41,0.46,6.57,0.27,7.06,2.95,6.47,1.62,3.42,2.58,5.83,1.04,4.13,2.26,6.26,7.73,3.21,3.87,3.33,6.16,3.8,1.97,2.57,3.34,2.57,1.86,3.47,6.79,0.29,3.95
March,,,,2.46,4.14,0.94,4.59,3.47,2.25,2.77,3.49,5.5,3.41,1.13,2.04,2.46,3.77,2.06,3.84,3.13,3.43,2.53,0.82,1.41,4.63,3.49,6.18,5.49,1.93,3.01,1.24,3.99,2.36,7.64,3.16,4.97,5.01,4.13,4.6,3.72,0.93,2.63,5.6,6.94,5.38,1.9,6.08,3.66,1.94,6.28,3.95,4.06,3.05,2.51,1.58,2.03,3.19,4.87,3.42,0.73,4.01,0.96,2.89,2.88,3.71,2.35,2.83,3.43,1.03,2.76,2.71,4.81,2.76,2.04,0.55,1.38,1.73,6.46,2.1,1.28,2.62,5.39,2.06,3.13,2.98,2.43,1.93,3.03,2.53,1.64,1.95
April,,,,0.49,2.13,1.19,2.7,2.69,1.78,2.81,2.38,1.1,4.5,2.65,1.81,2.27,3.31,1.34,3.34,3.81,1.76,2.38,1.59,0.84,3.17,2.83,1.68,3.78,3.21,3.05,2.67,2.61,2.3,2.87,3.9,3.61,1.58,3.06,2.4,3.72,3.57,2.33,1.54,4.54,1.76,2.02,2.89,3.35,1.5,2.13,5.89,1.74,3.79,3.32,2.25,3.44,2.38,4.05,1.56,1.71,3.07,3.94,4.62,1.16,2.79,4.43,1.49,2,0.42,2.07,2.59,2.48,2.19,2.83,4.68,2.77,1.47,5,2.64,4.31,4.57,3.24,3.17,3.68,0.64,1.4,2.96,0.47,1.47,5.19,2.29
May,,,,1.97,1.72,2.06,1.28,3.81,4.32,2.15,2.92,2.68,1.24,1.1,1.98,2.26,5.45,2.16,1.01,2.93,3.52,3.37,4.49,2.21,2.86,1.11,0.61,1.31,3.58,3.57,1.65,1.4,3.01,4.5,3.65,0.78,3.52,4.88,2.27,2.27,4.01,1.66,4.17,3.2,2.5,2.33,2.89,2.58,4.01,2.13,5.36,1.92,1.71,4.63,5.57,4.04,3.97,1.55,2.26,3.36,1.82,3.25,4.58,1.97,3.17,0.76,1.25,2.53,4.2,1.58,0.98,2.24,4.06,3.59,3.37,3.94,1.55,3.87,1.67,2.57,2.34,3.51,1.7,2.26,3.19,4.64,1.51,1.25,4.63,1.4,2.41
June,,,,1.98,1.21,3.48,3.35,3.56,3.4,5.33,3.2,1.94,5.82,4.9,0.73,4.33,1.68,0.37,2.92,0.74,2.63,2.54,3.91,2.08,3.56,3.52,3.8,4.4,3.1,1.77,3.38,1.24,1.88,1.58,1.16,3.16,1.93,6.53,2.15,3.29,4.87,3.85,5.47,3.06,2.84,1.32,3.39,2.17,1.93,1.5,3.23,0.31,2.46,1.22,2.25,0.07,3.01,4,4.97,1.52,2.85,5.79,0.44,2.64,2.16,3.44,5.96,1.44,4.1,2.6,0.57,0.98,1.34,2.89,2.87,4.68,3.17,3.22,4.22,0.5,1.73,1.06,2.67,3.18,2.6,2.51,3.15,1.76,4.91,2.04,1.46
July,,,,3.02,1.93,6.27,1.85,2.97,1.22,4.01,6.1,2.38,4.36,2.9,3.83,1.33,4.84,1.8,6.41,2.65,2.49,2.94,3.5,3.78,3.26,7.11,1.76,1.51,1.19,1.7,3.19,3.67,2.96,3.39,4.5,3.34,2.63,2.75,4.27,5.63,3.44,0.77,5.26,1.37,3.15,4.16,2.97,1.79,4.38,2.71,8.35,1.87,4.53,4.85,3.25,1.25,3.45,3.01,1.33,2.03,7.12,4.47,3.97,3.3,2.96,1.93,3.54,2.59,4.11,6.7,2.92,1.05,3.23,3.28,2.43,1.92,4.59,2.19,1.22,3.08,2.73,2.94,2.08,5.08,3.77,1.05,6.88,4.01,4.98,2.97,5.81
August,,,,3.3,3.36,4.24,3.58,5.26,6.62,5.84,1.96,5.37,2.25,2.48,1.3,1.58,1.74,1.58,2.79,4.81,5.48,6.04,4.18,2.53,3.76,2.99,2.04,3.37,5.45,2.83,6.19,1.61,4.06,4.46,5.57,5.1,2.99,3.29,4.7,2.88,5.81,3.21,6.85,1.74,2.3,5.03,3.49,6.7,2.31,3.68,1.98,6.25,6.13,4.24,3.26,4.29,4.23,5.81,4.64,3.79,5.51,6,2.85,1.64,2.53,2.23,1.6,1.35,4.13,1.72,1.72,5.38,4.95,5.64,4.43,3.72,4.57,0.26,3.84,2.85,5.66,5.82,4.25,4.13,5.43,0.59,8.98,5.47,3.14,0.6,6.08
September,,,,2.35,3.04,3.78,4.17,4.52,4.16,2.22,4.85,2.51,2.34,6.25,2.35,4.72,2.88,4.01,0.97,2.79,1.54,3.6,3.91,3.21,0.94,1.31,8.16,3.66,0.52,6.87,1.11,0.64,3.18,5.6,1.42,3.1,1.35,0.8,3.58,3.81,0.38,3.77,2.51,2.33,2.92,0.76,2.61,2.27,13.94,1.81,1.91,1.35,3.59,3.93,4.66,3.37,3.11,5.95,0.64,1.57,5.92,3.53,3.89,2.96,2.27,6.48,5.18,1.79,1.95,1.31,3.02,0.45,2.67,4.15,4.91,2.92,6.38,2.08,2.31,1.06,5.65,2.3,3.74,3.36,6.02,2.19,4.13,5.14,4.23,0.29,3.04
October,,,,3.67,5.47,5.26,3.48,5.05,3.86,2.14,5.65,4.01,4.55,5.25,2.22,7.05,5.2,3.42,1.65,6,2.86,7.46,7.9,3.15,6.33,4.72,5.11,2.23,5.62,4.37,5,3.03,5.54,10.83,1.7,3.94,7.27,7.49,2.1,5.9,3.95,4.31,4.54,3.38,2.69,1.79,8.26,7.31,3.16,2.59,1.95,2.6,1.34,4.59,5.13,6.05,5.09,3.71,4.56,4.88,6.11,2.1,6.27,4.87,4.89,11.82,5.29,2.61,9.3,2.69,4.5,5.33,5.73,2.45,4.5,6.95,1.18,1.14,2.42,4.16,2.28,1.34,5.12,2.13,6.46,2.63,2.75,4.93,3.42,4.91,5.82
November,,,4.99,3.8,3.19,4.75,3.55,5.48,2.32,1.74,4.79,5,6,4.3,1.64,2.66,2.18,2.46,8.2,1.7,6.22,3.81,3.02,3.4,2.82,4.39,1.89,5.32,3.24,2.33,3.27,6.76,2.64,3.21,4.22,5.41,5.6,3.7,2.83,1.91,4.67,6.46,4.36,4.88,7.18,2.88,4.53,5.3,2.19,3.24,2.44,2.33,2.28,7.6,2.45,2.18,4.35,4.43,6.32,7.93,4.69,5.9,3.37,1.39,2.03,6.8,5.54,2.23,4.49,6.65,7.02,3.18,1.52,3.94,8.07,0.6,8.13,7.97,1.63,6.88,5.54,9.38,2.54,4.71,7.43,1.69,1.56,3.03,0.96,4.51,7.31
December,,,3.06,1.07,3.72,2.26,7.71,4.88,2.12,3.3,6.11,3.59,4.49,2.98,5.32,1.75,6.76,2.91,2.93,3.07,0.62,9.85,2.02,5.68,4.14,5.71,5.26,5.45,6.12,3.54,6.14,6.31,5.72,3.31,3.2,1.34,4.74,4.44,2.49,10.61,5.54,6.55,7.25,4.07,8.64,9.21,3.74,3.35,8.53,6.46,3.99,6.99,4.73,3.84,6.03,7.59,1.93,2.61,3.02,8.3,2.96,2.42,1.81,0.55,4.45,2.83,4.65,2.43,3.47,3.35,3.07,1.88,4.15,2.96,4.77,2.72,4.3,4.9,4.42,8.23,4.31,8.71,4.15,1.95,6.62,6.98,4.81,4.76,4.69,8.88,5.69
