MATTERDALE FELL,,,,,,,,,,,,,,,,,,,,
Grid ref,NY364225,Long,-2.9856,Lat,54.5945,Elevation,1400,ft,,,,,,,,,,,,
Station no,RR2101,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,19,13.75,12.25,7,5,13.75,,,,,,,
February,,,,,,,,6,11,15.2,8.5,,6.25,,,,,,,
March,,,,,,,,5.25,11.5,2,2,,4.75,,,,,,,
April,,,,,,,,10.5,7.75,3.5,1.25,3.75,2.5,,,,,,,
May,,,,,,,,6,3.5,1.5,5,1.5,4,,,,,,,
June,,,,,,,,3,1.5,1.5,1.75,3,2,,,,,,,
July,,,,,,,,7.5,1.25,4.5,1,,3.75,,,,,,,
August,,,,,,,,5.3,9,3,5,,,,,,,,,
September,,,,,,,4.25,9,5.5,17.5,3.25,,,,,,,,,
October,,,,,,,5.25,6,7.75,3.5,19.75,7.25,,,,,,,,
November,,,,,,,7.75,1.5,4.25,9.5,5.25,2,,,,,,,,
December,,,,,,,18.75,2.75,19.75,14,4,9,,,,,,,,
Total,,,,,,,,81.8,96.5,87.95,63.75,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR based on description in Symons British Rainfall 1867,,,,,,,,,,,,,,,,,,,,
