LIBERTON (HAWKHEAD GROVE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT272695,Long,-3.166226,Lat,55.913066,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5135/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,2.95,2.75,4.11,4.1,1.05,1.9,2.76,2.55,2.21,3.55,1.94,2.52,5.47,2.58,1.46,2.86,2.96,0.44,2.9,1.76,1.64,3.22,1.54,,
February,,,,,,2.57,3.34,0.84,1.98,1.09,2.7,1.35,1.54,0.98,2.91,1.52,1.48,2.2,1.92,2.99,2.35,0.4,0.76,1.64,1.54,1.82,2.95,1.95,,
March,,,,,,2.12,2.93,0.65,2.96,2.79,3.51,1.27,1.75,0.29,1.09,1.76,3.89,1.2,0.96,2.49,2.8,1.29,0.49,1.44,2.3,1.13,1.62,2.02,,
April,,,,,,1.47,1.13,0.12,1.23,2.32,1.69,1.56,1.07,1.85,1.22,0.45,2.92,1.56,1.33,2.37,2.62,1.42,2.34,1.2,0.51,0.75,0.71,2.02,,
May,,,,,,1.21,2.62,0.23,1.23,1.6,3.85,1.32,3.67,2.56,4.95,2.12,2.99,2.2,2.31,3.24,3.57,1.77,1.85,5.06,2.01,0.65,1.56,2.16,,
June,,,,,,1.41,1.02,3.19,1.54,0.47,0.83,1.04,1.75,2.08,1.63,1.64,3.26,4.36,0.9,1.83,1.57,2.87,1.48,2.43,0.71,2.65,1.13,3.37,,
July,,,,,,5.1,5.7,2.45,2.3,7.46,3.35,3.33,2.82,2.55,1.78,3.21,1.97,1.75,2.45,2.47,3.64,2.17,4,1.62,1.81,4.13,5.02,6.87,,
August,,,,,,1.35,3.49,1.53,1.04,0.72,2.94,2.7,3.88,3.12,3.37,3.54,0.26,9.69,3.25,2.84,5.94,4.24,1.95,5.98,1.02,7.51,2.91,2.86,,
September,,,,,,2.92,2.05,2.56,1.41,2.49,1,2.78,1.21,4.89,3.21,3.71,1.4,2.78,1.55,4.66,1.11,2.13,2.85,3.67,1.43,4.04,1.52,2.1,,
October,,,,,,1.73,4.32,5.25,2.05,2.47,3.14,2.76,3.12,2.32,3.82,0.9,1.12,1.46,4.72,2.12,0.52,1.58,1.52,6.1,1.68,1.84,1.98,1.8,,
November,,,,,,2.37,0.3,4.99,3.64,4.21,2.11,0.71,0.98,6.05,0.3,3.54,3.2,2.65,3.43,3.72,4.68,2.22,3.45,3.18,0.72,2.2,2.42,1.58,,
December,,,,,,2.12,2.94,1.99,1.06,2.64,1.22,1.64,0.94,2.19,2.29,2.39,2.26,2.46,4.2,2.44,1.98,3,3.76,3.28,4.88,2.84,2.55,4.16,,
Total,,,,,,27.32,32.59,27.91,24.54,29.31,28.24,23.22,25.28,31.09,30.12,26.72,27.27,37.78,29.6,32.63,33.64,26.05,24.89,38.5,20.37,31.2,27.59,32.43,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 and 1960 crossed out on record therefore data removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
