ENFIELD-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ359949,Long,-0.037641536,Lat,51.636497,Elevation,43,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,889/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,1.94,2.41,1.81,4.3,2.37,1.71,1.77,1.55,4.31,0.98,1.06,2.62,1.79,0.94,1.22,2.17,,1.19,2.25,2.06,1.59
February,,,,,,,,,0.79,1.37,2.05,0.98,1.26,1.04,1.47,3.07,1.46,1.45,1.01,3.76,5.14,0.67,1.36,2.32,1.65,,2.96,2.53,0.02,2.24
March,,,,,,,,,1.44,2.98,2.88,2.1,0.35,0.12,0.67,1.28,5.23,0.5,0.82,0.67,3.23,2.65,0.39,2.22,1.01,,1.15,1.02,1.53,1.26
April,,,,,,,,,2.91,1.38,1.42,1.12,1.12,1.25,1.01,1.37,1.63,1.78,1.34,1.67,2.93,0.84,2.5,0.26,0.64,,0.13,1.35,2.44,0.34
May,,,,,,,,,1.41,1.77,1.74,2.61,1.63,0.53,3.31,2.45,1.03,1.72,1.64,1.42,2.36,1.14,1.18,1.94,4.93,,1.07,2.51,1.27,1.68
June,,,,,,,,,1.3,0.68,1.04,0.27,1.64,2.37,1.82,2.54,3.43,2.24,0.61,1.89,0.53,1.21,1.07,3.14,2.04,,0.7,5.23,0.69,1.31
July,,,,,,,,,2.42,2.58,3.35,1.4,1.43,2.21,2.4,3.18,,0.76,2.2,4.1,1.16,0.59,3.7,3.06,0.5,,3.16,3.91,1.28,2.7
August,,,,,,,,,3.66,0.06,4.27,2.42,1.31,2.27,1.01,3.77,,2.79,1.62,1.84,5.06,2.69,1.79,2.85,1.06,,2.15,3.9,1.04,2.11
September,,,,,,,,,1.51,0.87,0.71,1.02,1.75,2.77,1.78,3.11,1.39,1.64,0.2,2.27,2.81,3.09,1.73,1.61,1.74,,2.2,3.73,0.03,3.54
October,,,,,,,,,5.5,2.5,0.71,3.65,2.12,3.26,2.37,1.49,,1.96,5.05,0.32,0.69,2.63,2.55,2.32,3.48,2.16,1.78,3.47,1.82,5.67
November,,,,,,,,,4.51,6.39,2.18,2.1,1.27,3.61,0.22,4.14,,1.82,2.13,4.89,4.77,3,0.83,3.66,0.57,0.35,2.43,1.45,2.7,3.98
December,,,,,,,,,1.02,1.23,1.61,2.39,1.3,1.07,2.81,1.75,,2.18,1.55,1.35,1.6,2.18,0.47,1.85,1.83,2.64,1.58,2.91,3.44,2.85
Total,,,,,,,,,,23.75,24.37,21.87,19.48,22.87,20.58,29.92,,23.15,19.15,25.24,32.9,22.48,18.51,26.45,21.62,,20.5,34.26,18.32,29.27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 717 ENFIELD Start 1911 end 2006 but this record starts in 1939 and I cannot find any records local to this that might match the 1911 start date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record sheet and is the pumping station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
