HARTLAND-POINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS231276,Long,-4.523665,Lat,51.021387,Elevation,299,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1869/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.22,4.06,3.48,3.43,4.17,3.13,2.67,3.32,2.58,6.24,1.01,1.33,4.79,2.62,0.96,2.13,3.31,3.67,2.84,2.74,4.35,3.85
February,,,,,,,,,2.22,3.21,3.5,0.22,1.54,1.08,3.45,1.85,0.52,0.94,1.15,4.9,3.85,0.76,1.89,3.52,3.43,0.6,5.21,4.3,0.42,3.12
March,,,,,,,,,1.09,2.05,2.3,2.47,1.02,0.13,1.73,0.86,6.85,0.96,1.61,2,4.4,3.04,1.02,2.55,1.26,0.87,3.75,1.17,3.53,1.41
April,,,,,,,,0.08,2.08,2.34,1.15,1.31,1.07,1.5,1.01,1.78,1.76,1.84,3.07,1.87,3.23,3.5,2.03,0.51,2.3,1.47,0.23,0.98,2.26,3.1
May,,,,,,,,2.19,0.99,1.59,1.89,3.96,2.47,0.52,2.71,3.74,3.15,1.68,2.45,1.88,2.26,3.03,2.44,2.45,2.82,0.87,2.77,2.44,1.29,1.24
June,,,,,,,,1.46,1.85,0.57,1.35,0.17,2.39,2.94,3.49,3.88,2.68,1.97,0.31,1.43,0.96,1.99,0.95,2.84,3.36,1.8,1.86,4.65,1,1.15
July,,,,,,,,2.54,5.65,5.18,2.28,4.08,2.11,2.23,3.93,2.71,2.4,2.24,1.45,2.88,1.07,1.11,4.76,4.97,0.55,3.55,2.89,2.14,2.57,5.37
August,,,,,,,,4.76,2.94,0.13,4.31,2.95,2.66,3.71,1.61,5.74,0.61,3.58,2.06,7.98,4.96,5.77,3.62,3.82,0.21,3.29,2.19,4.85,1.52,3.65
September,,,,,,,,1.19,0.9,2.31,0.7,3.97,6.3,3.1,1.59,4.41,1.27,3.1,2.04,5.56,2.03,2.66,3.82,3.75,1.56,3.61,4.1,5.71,0.22,5.14
October,,,,,,,,4.33,2.49,2.76,2.21,2.67,4.03,4.11,2.95,2.1,1.61,4.74,6.97,1.91,0.74,4.26,2.7,3.92,2.58,1.97,4.55,4.1,4.29,7.79
November,,,,,,,,4.98,6.64,7.06,1.94,1.15,2.51,6.24,0.51,4.7,2.8,2.03,5.5,5.89,4.37,3.43,2.74,7.45,1.59,1.29,1.71,3,8.7,8.12
December,,,,,,,,3.29,2.29,3.55,3.05,4.3,2.03,2.84,4.42,3.34,3.03,4.32,3.27,4.08,4.17,3.62,1.1,3.99,5.66,5.76,1.95,4,7.22,5.64
Total,,,,,,,,,33.36,34.81,28.16,30.68,32.3,31.53,30.07,38.43,29.26,33.64,30.89,41.71,36.83,35.79,28.03,41.9,28.63,28.75,34.05,40.08,37.37,49.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastguard Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 Gauge very overexposed – only better site liable to interference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 New gauge installed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Gauge overexposed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Sept 21st Delivery tube broken and needs re-soldering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Gauge overexposed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 Oct 14th Spout needs re-soldering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 Gauge overexposed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958 Not printed – total low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
