SWINDALE PARSONAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY510129,Long,-2.758285,Lat,54.509028,Elevation,875,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,5.53,15.81,11.24,13.56,2.89,11.85,10.36,11.32,13.05,2.53,1.67,7.65,13.61,9.94,5.59,9.77,10.68,13.66,4.59,5.94,7.1,7.2,2.8,6.49,7.31,5.58,13.59,10.88,6.22,12.29
February,5.95,0.19,6.15,0.49,12.57,4.23,8.87,4.03,11.06,2.61,8.54,2.52,4.92,3.11,8.16,5.45,2.3,6.89,4.95,10.35,8.29,1.43,2.2,6.3,2.47,0.89,9.14,8.52,1.92,9.54
March,1.51,5.84,6.64,5.22,2.64,4.33,2.88,5.61,6.31,8.13,4.41,4.35,3.06,0.8,5.9,4.58,8.5,7.9,1.6,4.66,4.35,7,1.2,5.99,2.23,2.15,6.25,1.77,6.87,1.87
April,3.69,7.83,3.71,5.86,5.81,1.68,4.52,0.62,2.36,3.24,2.64,5.9,4.02,3.95,4.16,1.73,11.5,3.68,8.2,3.63,5.29,5.44,5.7,0.96,2.2,1.32,1.51,2.22,8.38,6.98
May,5.45,5.08,3.27,6.58,0.75,1.76,3.45,5.68,1.18,2.35,3.94,6.43,6.66,2.56,5.38,2.26,3.7,3.18,4.76,2.33,1.48,3,4.09,5.64,7.1,3.47,3.97,6.99,1.26,2.77
June,7.13,3.77,2.89,3.12,7.11,4.56,2.41,9.52,5.99,1.03,0.15,0.95,6.09,4.69,6.46,5.96,4.72,8.35,1.33,2.2,0.85,4.69,3.87,6.4,3.89,3.82,1.69,5.31,6.18,4.64
July,6.6,8.08,5.09,2.11,2.55,8.48,3.2,11.64,10.96,6.33,1.75,3.14,4.16,4.86,3.5,6.1,4.1,4.12,3.07,4.81,3.31,1.86,8.33,4.5,2.74,5.69,4.33,5.49,5.47,6.39
August,5.55,1.67,2.91,6.05,4.13,3.17,2.99,4.46,3.98,2.01,8.32,7.64,11.47,5.58,2.63,7.59,0.18,7.42,3.41,9.16,8.06,6.05,6.2,7.19,2.68,9.91,7.91,4.9,1.32,4.25
September,3.34,7.01,2.52,9.49,13.07,7.65,6.12,3.21,2.54,6.03,1.41,8.4,7.5,8.11,6.44,13.51,6.24,7.15,1.53,11.55,8.43,7.67,10.11,12.84,3.39,5.45,7.25,9.1,1.34,3.9
October,5.56,12.16,6.24,12.54,12.01,6.66,4.83,17.97,3.88,11.13,8.13,7.08,8.42,7.8,9.57,1.46,1.52,5.16,9.54,5.3,0.82,8.21,4.65,19.03,4.07,5.44,9.17,8.44,9.64,5.9
November,16.87,6.7,3.43,1.32,9.31,8.28,2.13,15.67,14.39,10.79,6.31,2.64,4.57,14.51,0.46,14.95,10.12,6.34,12.52,4.71,12.61,3.42,12.22,17.89,4.25,2.64,2.71,1.22,12.08,18.68
December,5.79,15.11,1.04,14.56,4.39,13.42,5.16,7.6,4.23,6.78,4.68,10,4.66,8.01,5.22,10.13,3.33,14.08,12.99,2.58,11.16,6.24,4.98,9.92,10.22,11.17,8.91,7.05,16.7,10.32
Total,72.97,89.25,55.13,80.9,77.23,76.07,56.92,97.33,79.93,62.96,51.95,66.7,79.14,73.92,63.47,83.49,66.89,87.93,68.49,67.22,71.75,62.21,66.35,103.15,52.55,57.53,76.43,71.89,77.38,87.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1953 Feb 2.2, Mar 1.2, Apr 5.7 and total all estimated so omitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 total is 18 too high for values; values have been transcribed correctly and add to 71.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1951-1960_21_pt1-page-096.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
