GOREBRIDGE DEAN BANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT344618,Long,-3.049196,Lat,55.844931,Elevation,560,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5117,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,1.49,2.81,2.23,1.83,3.2,3.27,5.2,2.13,1.34,2.17,2.7,2.86,2.15,4.68,1.19,2.86,1.85,3.02,2.4,2.48,1.37,3.47,2.74,3.57,5.12,0.91,2.79,3.39,2.19,1.76,3.49,1.85,2.75,5.74,2.54,1.28,3.05,2.71,0.65,3.4,2.32,1.57,3.3,,1.2,3.08
February,,,,,,2.72,3.58,0.73,2.59,1.79,2.72,0.96,2.16,3.68,0.87,4.43,2.15,1.06,2.33,1.03,0.93,1.72,0.59,1.64,0.09,2.38,3.68,3.75,1.3,1.76,1.24,3.43,1.26,1.76,1.4,2.46,0.99,1.07,2.22,1.41,3.36,2.63,0.48,0.86,1.47,1.75,,2.43,,0.43,2.55
March,,,,,,1.09,4.06,1.31,0.93,2.33,2.77,2.48,2.04,1.31,0.74,3.1,1.62,2.27,2.55,0.33,2.39,1.25,2.52,0.68,4.35,1,3.17,2.53,0.62,3.28,3.09,2.71,1.43,1.58,0.23,1.08,2.08,3.51,1.14,1.07,2.14,3.2,1.36,0.31,1.57,1.48,,1.42,1.93,0.76,1.79
April,,,,,,1.01,3.79,2.2,1.02,3.63,2.48,0.87,1.84,2.74,1.15,4.13,2.18,1.41,1.22,1.68,1.17,2.22,2.11,2.09,4.44,2.65,2,1.17,0.27,1.71,1.88,1.51,1.33,1.22,1.73,0.97,0.53,3.93,2.23,1.17,2.68,2.87,1.46,2.74,1.08,0.19,,0.84,2.44,2.05,1.25
May,,,,,,1.12,4.51,1.76,2.66,0.78,3.16,1.75,0.91,2.68,3.98,4.06,3.44,1.65,1.87,1.78,1.17,2.65,2.83,1.88,1.69,0.88,0.97,3.13,3.43,0.81,2.48,2.66,1.13,3.33,2.82,3.97,1.89,2.71,2.19,1.94,1.63,3.2,1.52,2.45,5.4,2.07,,1.51,1.81,0.45,1.22
June,,,,,,1.37,3.35,1.38,0.54,1.93,0.94,0.62,2.58,1.09,1.72,0.65,3.83,3.25,5,2.3,1.4,4.4,1.17,2.69,2.65,2.58,1.43,0.88,4.46,2.24,0.45,1,1.39,2,2.18,1.15,1.61,3.12,3.81,1.15,1.36,1.73,2.26,2.01,2.6,0.52,,1.42,2.75,2.32,1.39
July,,,,,,4.83,4.53,1.77,3.7,0.82,3.56,2.44,3.7,2.65,3.89,1.44,3.4,2.5,2.17,3.58,3.61,3.92,2.4,3.81,2.22,0.77,4.78,5.08,2.84,1.85,7.8,2.52,3.41,2.48,2.21,1.66,3.24,2.66,1.65,2.74,3.15,2.74,2.99,4.63,2,2.01,4.05,3.83,5.75,2.08,3.16
August,,,,,,3.02,4.03,4.59,1.68,1.9,5.63,4.31,1.61,3.8,2.68,3.64,2.27,6.11,5.7,4.18,4.87,6.46,0.48,1.02,3.29,2.63,1.22,3.05,1.7,2.48,0.74,3.41,2.62,3.5,2.41,3.85,3.81,0.18,8.93,2.09,2.18,4.82,3.87,1.75,4.99,1.03,9.73,5.75,2.38,0.38,4.78
September,,,,,,2.96,2.07,2.17,4.27,2.94,1.4,1.77,2.09,1.99,3.42,4.97,3.7,8.38,2.18,0.2,4.14,1.6,2.73,2.44,1.41,3,2.8,1.99,1.97,1.64,3.08,0.78,2.22,1.25,5.11,2.94,3.05,1.29,2.39,1.49,5.69,1.2,2.77,2.75,3.36,1.27,3.63,1.52,2.01,0.5,1.3
October,,,,,,1.56,4.47,3.18,3.67,2.9,1.64,4.03,2.42,2.83,2.83,1.85,3.47,3.33,3.62,2.73,2.57,1.34,5.79,2.31,4.32,6.72,2.42,3.69,5.01,3.06,2.56,2.82,3.19,3.7,2.13,3.02,0.71,0.8,1.22,4.54,2.34,0.51,1.9,1.35,4.92,1.45,2.12,1.97,1.12,2.41,2.89
November,,,,,,1.27,3.55,2.19,2.35,5.14,2.12,1.14,1.6,4.17,1.38,0.8,3.11,2.49,3.49,3.15,4.15,3.38,1.55,1.56,3.36,3.88,3.2,0.66,4.2,3.62,4.21,2.04,0.67,0.9,5.78,0.32,3.97,3.41,1.73,3.57,4.72,4.47,3.08,3.27,3.34,0.75,0.99,2.05,0.93,5.27,2.48
December,,,,,,4.31,2.7,2.26,2.01,4.06,2.61,2.85,2.94,2.68,2.87,2.96,0.99,2.21,2.23,4.08,1.38,1.33,4.7,1.03,2.86,1.3,2.08,5.01,2.6,0.87,1.67,0.97,1.35,0.96,2.41,1.59,1.88,2.03,2.36,4.7,1.88,2.02,3.01,2.7,4.09,4.25,2.94,3.15,4.07,3.49,2.83
Total,,,,,,26.75,43.45,25.77,27.25,31.42,32.3,28.42,26.02,30.96,27.7,34.73,33.02,36.81,37.04,26.23,30.64,32.12,29.89,23.55,33.16,29.16,31.22,33.68,31.97,28.44,30.11,26.64,23.39,24.87,30.17,26.5,25.61,27.46,35.61,28.41,32.41,32.44,27.41,25.47,38.22,19.09,,29.19,,21.34,28.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOT USED TYRain_1951-1960_26_pt1-page-023.csv duplicate of 
TYRain_1951-1960_26_pt1-page-022.csv",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gauge moved 1/4mile NW, 1st September 1929",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
