"GOREBRIDGE, MIDDLETON - observer Anstruther",,,,,,,,,,,,,,,,,,,,
Grid ref,NT369582,Long,-3.0084408,Lat,55.812924,Elevation,750,ft,,,,,,,,,,,,
Station no,5117,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,3.92,1.95,2.76,1.29,4.27,1.28,1.88,1.67,3.02,2.44,,,,
February,,,,,,,1.05,1.21,2.14,1.66,1.22,0.32,2.67,3.92,7.16,0.95,,,,
March,,,,,,,4.2,2.37,3.85,1.99,2.7,4.53,1.53,0.65,1.69,4.27,,,,
April,,,,,,,1.65,0.7,2.36,3.17,1.05,1.67,2.43,1.07,1.71,1.75,,,,
May,,,,,,,5.13,2.67,1.21,1.33,1.99,2.36,4.04,1.65,4.36,1.08,,,,
June,,,,,,,1.48,0.92,2.39,1.25,4.72,0.69,3.29,4.39,3.36,2.42,,,,
July,,,,,,,3.11,2.9,5.42,4.62,2.66,3.25,1.76,3.59,1.74,6.39,,,,
August,,,,,,,1.51,2.08,2.47,6.73,5.61,6.84,4.43,3.74,4.82,3.7,,,,
September,,,,,,,3.16,4.44,0.65,1.17,2.29,6.91,2.04,1.53,1.16,0.77,,,,
October,,,,,,,5.74,2.3,1.72,6.27,3.04,3.13,5.16,1.88,3.05,4.4,,,,
November,,,,,,,3.33,5.7,7.32,0.8,4.97,3.35,1.66,2.89,2.24,3.72,,,,
December,,,,,,,3.24,2.59,1.52,2.02,2.94,5.96,1.44,3.19,2.12,3.34,,,,
Total,,,,,,,37.52,29.83,33.81,32.3,37.46,40.29,32.33,30.17,36.43,35.23,,,,
