"STRATHGLASS (GLASSBURN)",,,,,,,,,,,,
Grid ref,NH370344,Long,-4.712223,Lat,57.370787,,,,,,,
Station no,5713/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.18,4.92,3.40,5.47,2.70,5.07,7.55,4.52,3.96,4.03,,
February,3.70,2.61,2.75,2.76,3.39,3.35,3.45,3.04,1.68,3.76,,
March,2.64,2.86,2.32,2.50,1.59,2.51,2.73,2.00,1.97,0.59,,
April,5.28,1.55,2.82,2.40,1.24,2.07,1.08,3.37,4.50,4.17,,
May,1.19,2.48,3.89,4.09,3.58,2.79,1.33,5.24,1.64,0.95,,
June,1.40,1.79,2.30,2.29,1.14,1.66,2.18,1.85,2.28,1.84,,
July,2.68,1.49,3.69,2.51,0.62,4.13,6.25,2.21,4.73,1.95,,
August,3.40,6.42,2.86,2.42,0.60,6.48,5.07,2.96,2.35,6.08,,
September,2.43,3.12,2.88,3.84,3.33,3.90,3.25,3.91,0.90,3.00,,
October,1.75,5.64,0.92,7.32,4.59,5.50,4.14,5.76,5.17,2.67,,
November,5.97,3.86,5.57,4.46,1.20,5.71,2.10,1.43,5.16,2.89,,
December,8.34,5.53,5.05,11.05,9.35,7.22,8.91,4.37,-999.00,5.63,,
Total,43.96,42.27,38.45,51.11,33.33,50.39,48.04,40.66,39.41,37.56,,
Calc annual,43.96,42.27,38.45,51.11,33.33,50.39,48.04,40.66,34.34,37.56,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,5.07,0.00,,
