EDINBURGH GEORGE SQUARE,,,,,,,,,,
Grid ref,NT259729,Long,-3.1879525,Lat,55.943409,Elevation,265,ft,,
Station no,RR4534,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,1.78,1.05,3.2,,,,,,
February,,1.04,0.5,3.73,,,,,,
March,,1.1,1.08,2.78,,,,,,
April,,1.13,1.33,1.02,,,,,,
May,,1.89,1.93,1.26,,,,,,
June,,1.87,1.3,1.02,,,,,,
July,,0.68,2.33,3.94,,,,,,
August,,2.29,1.44,2.72,,,,,,
September,,0.91,1.42,1.88,,,,,,
October,,1.31,1.66,4.63,,,,,,
November,,1.74,1.47,1.14,,,,,,
December,,2.36,1.05,0.84,,,,,,
Total,,18.1,16.56,28.16,,,,,,
