"EDINBURGH GEORGE SQUARE",,,,,,,,,,,,
Grid ref,NT258728,Long,-3.189526,Lat,55.942495,,,,,,,
Station no,RR4534,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.38,1.92,0.96,3.53,1.79,0.66,2.48,0.51,1.97,,,
February,2.79,1.13,0.89,3.76,2.57,0.90,0.66,0.86,0.77,,,
March,1.27,1.23,0.81,3.03,1.28,2.64,1.78,1.65,2.84,,,
April,1.32,1.47,1.19,1.11,1.47,1.30,0.80,1.01,1.19,,,
May,0.98,2.07,2.19,1.33,3.32,0.93,4.84,2.26,1.94,,,
June,2.46,2.14,2.14,1.15,1.51,1.49,1.37,2.92,0.88,,,
July,2.69,0.97,2.84,4.15,1.12,1.56,1.99,2.83,2.81,,,
August,5.04,3.58,1.38,3.05,4.29,2.33,4.56,3.80,0.76,,,
September,1.40,1.05,1.29,1.95,1.54,1.31,0.59,2.16,2.31,,,
October,4.95,1.51,0.80,4.79,0.68,1.69,4.60,7.25,0.69,,,
November,5.28,1.81,0.41,1.22,0.80,3.60,3.20,0.78,1.51,,,
December,3.50,2.58,1.33,0.91,3.02,1.09,1.41,3.56,0.25,,,
Total,34.06,21.46,16.23,29.98,23.39,19.50,28.28,29.59,17.92,,,
Calc annual,34.06,21.46,16.23,29.98,23.39,19.50,28.28,29.59,17.92,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
