"SLIGO, HAZLEWOOD",,,,,,,,,,,,,,,,,,,,,
Grid ref,IG7180234279,Long,-8.4334683,Lat,54.256704,Elevation,45,ft,,,,,,,,,,,,,
Station no,RR2444,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,4.56,5.32,5.55,4.06,,,,,,,,,
February,,,,,,,,,4.56,0.93,2.57,2.03,,,,,,,,,
March,,,,,,,,,1.56,3.06,4.31,3.53,,,,,,,,,
April,,,,,,,,,1.37,3.05,3.19,1.47,,,,,,,,,
May,,,,,,,,,2.07,2.96,3.81,2.3,,,,,,,,,
June,,,,,,,,,2.42,3.79,2.03,0.57,,,,,,,,,
July,,,,,,,,,3.4,1.59,4.58,3.74,,,,,,,,,
August,,,,,,,,,3.57,4.1,2.55,5.73,,,,,,,,,
September,,,,,,,,,7.06,3.7,3.68,1.11,,,,,,,,,
October,,,,,,,,,4.74,1.93,2.09,2.14,,,,,,,,,
November,,,,,,,,,4.85,3.83,4.86,,,,,,,,,,
December,,,,,,,,,5.04,7.95,2.88,,,,,,,,,,
Total,,31.77,37.1,38.91,37.94,36.23,49.99,45.71,45.2,42.21,42.1,,,,,,,,,,
