ROTHBURY WHITTON TOWER,,,,,,,,,,,,,,,,,,,,
Grid ref,NU056010,Long,-1.91334,Lat,55.303069,Elevation,410,ft,,,,,,,,,,,,
Station no,RR4823,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,2.18,3.69,1.2,5.47,3.68,2.27,0.68,1.92,1.39,3.19,4.41,2.21,,,,
February,,,,,2.08,2.22,3.75,1.81,1.47,5.09,2.46,4.56,2.03,2.25,2.25,1.61,,,,
March,,,,2.89,1.58,1.18,2.33,5.26,1.02,1.45,2.08,4.2,1.77,3.52,2.62,2.22,,,,
April,,,,0.74,1.66,1.09,5.44,6.51,2.7,3.16,1.72,1.44,3.74,1.59,1.95,2.83,,,,
May,,,,2.39,2.22,1.19,1.15,4.59,3.2,2.24,2.35,2.61,2.03,1.99,2.22,4.46,,,,
June,,,,1.7,0.76,1.09,1.56,1.79,2.9,3.88,1.89,2.41,4.03,1.92,0.75,0.7,,,,
July,,,,2,2.79,2.32,0.9,3.61,0.6,5.48,4.55,3.08,2.84,5.29,4.18,1.24,,,,
August,,,,3.8,4.16,1.91,2.66,9.21,4.49,3.75,1.05,5.47,3.01,2.48,1.18,1.57,,,,
September,,,,2.01,2.72,3.52,3.75,2.49,2.4,1.09,4.49,5.35,2.39,4.17,2.13,3.41,,,,
October,,,,2.61,2.27,5.82,2.16,6.3,2.79,0.55,4.69,4.46,3.94,2.46,1.93,4.11,,,,
November,,,,2.67,4.82,6.22,4.64,2.67,7.56,3.34,3.48,3.36,5.04,1.6,2.31,2.66,,,,
December,,,,0.62,5.69,2.42,14.09,2.03,5.8,1.85,3.34,4.45,5.82,1.93,2.5,1.25,,,,
Total,,,,,32.93,32.67,43.63,51.74,38.61,34.15,32.78,43.31,38.03,32.39,28.43,28.27,,,,
