SLAPTON,,,,,,,,,,
Grid ref,SX824449,Long,-3.6519,Lat,50.2928,Elevation,104,ft,,
Station no,1670/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,2.17
June,,,,,,,,,,0.43
July,,,,,,,,,,5.01
August,,,,,,,,,,4.86
September,,,,,,,,,,6.13
October,,,,,,,,,,8.92
November,,,,,,,,,,7.63
December,,,,,,,,,,6.13
Total,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Location taken from MIDAS,,,,,,,,,,
,,,,,,,,,,
1960 May Inspection found site satisfactory on sloping ground to sea,,,,,,,,,,
1960 May Gauge to be raised,,,,,,,,,,
Station still in use,,,,,,,,,,
