READING-LEIGHTON-PARK-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU732714,Long,-0.94830025,Lat,51.436878,Elevation,265,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,2.52,0.47,3.32,0.35,1.43,0.65,1.77,0.97,3.79,3.17,0.61,3.27,1.1,1.3,2.71,2.51,2.25,,,,,,,,3.29,1.31,
February,,,,,2.67,0.38,1.81,1.36,0.75,0.3,2.55,1.54,1.74,0.91,2.49,3.82,4.09,0.87,0.98,1.9,0.37,,,,,,,,1.51,0.8,
March,,,,,1.08,3.68,1.22,0.75,2.32,2.75,0.77,1.6,3.32,2.1,4.34,0.94,4.88,1.49,0.7,3.39,1.19,,,,,,,,1.99,0.07,
April,,,,,1.11,1.48,0.76,2.45,3.73,2.01,1.43,1.38,0.05,2.77,0.74,0.91,0.68,1.57,2.88,2.1,2.7,,,,,,,,1.45,1.01,
May,,,,,2.79,2.26,1.99,1.29,1.25,1.49,1.47,2.16,1.35,2.11,1.51,3.27,2.05,1.07,1.18,0.17,0.77,,,,,,,,1.45,1.31,
June,,,,,1.09,3.78,2.13,2.07,1.01,4.15,3.84,1.4,3.34,0.64,1.26,1.02,1.82,2.64,0.63,1.09,2.58,,,,,,,,2.42,1.09,
July,,,,,0.97,0.46,0.25,1.6,1.71,2.68,1.73,0.33,1.48,0.79,2.37,5.24,1.09,5.55,4.53,1.58,5.14,,,,,,,,1.72,1.56,
August,,,,,1.68,2.59,0.62,1.07,2.43,1.8,1.73,1.25,4.44,1.06,1.44,2.76,4.35,3.7,1.03,2.57,,,,,,,,,2.49,0.65,
September,,,,,1.29,1.17,0.75,0.56,1.54,2.43,0.25,1.4,2.65,1.85,0.9,2.87,1.79,1.88,4.57,2.95,,,,,,,,,1.29,0.36,
October,,,,,1.4,1.42,4.45,4.85,1.4,3.9,3.84,2.53,2.38,4.95,2.09,3.07,4.37,4.06,1.26,0.93,,,,,,,,,3.97,2.89,
November,,,,,1.81,2.56,3.37,2,0.73,0.42,2.99,2.98,1.69,2.82,2.48,1.85,3.57,0.67,1.77,1.09,,,,,,,,,2.11,6.38,
December,,,,,2.33,0.95,2.26,3.4,2.17,2.33,3.85,5.98,3.01,1.12,6.86,5.39,2.38,0.87,1.42,4.37,,,,,,,,,2.53,4.85,
Total,,,,,20.74,21.2,22.93,21.75,20.47,24.91,26.22,23.52,29.24,24.29,27.09,34.41,32.17,25.67,23.66,24.65,,,,,,,,,26.22,22.28,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Leighton Park School. Stated altitude might be 20 ft. too high.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
