HESKET NEWMARKET,,,,,,,,,,,,,,,,,,,,
Grid ref,NY339386,Long,-3.0281511,Lat,54.738005,Elevation,578,ft,,,,,,,,,,,,
Station no,RR7614,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,7.65,3.6,5.02,-999,1.01,3.03,8.57,3.29,,,,,,,,
February,,,,,6.8,5.75,-999,-999,0.96,2.64,1.26,0.36,,,,,,,,
March,,,,,4.52,3.46,-999,-999,3.6,1.93,3.22,2.06,,,,,,,,
April,,,,,1.74,3.09,-999,2.34,-999,3.23,1.49,1.64,,,,,,,,
May,,,,,3.08,2.59,-999,2.42,-999,1.99,2.99,1.43,,,,,,,,
June,,,,,0.52,1.2,-999,0.39,1.2,1.14,4.04,1.09,,,,,,,,
July,,,,,6.34,1.38,-999,2.88,5.65,4.34,3.11,2.56,,,,,,,,
August,,,,,1.42,3.02,-999,2.66,3.45,2.2,5.13,9.82,,,,,,,,
September,,,,,3.64,4.48,-999,5.38,1.73,3.48,4.01,6.27,,,,,,,,
October,,,,,2.97,3.82,-999,2.8,4.12,3.1,3.14,5.61,,,,,,,,
November,,,,,1.85,3.19,-999,3.46,9.2,4.07,7.85,3.73,,,,,,,,
December,,,,,6.16,2.06,-999,4.3,3.6,4.1,0.54,7.19,,,,,,,,
Total,,,,,46.69,37.64,41.13,35.13,39.32,35.25,45.35,45.05,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1886 mostly bracketed months: Feb/Marh=5.30; Apr/May=10.17; June/July/Aug/Sep/Oct=13.6 and Nov/Dec=7.04,,,,,,,,,,,,,,,,,,,,
1887 Jan/Feb bracketed,,,,,,,,,,,,,,,,,,,,
1888 Apr/May bracketed,,,,,,,,,,,,,,,,,,,,
