GOODLEIGH-GUNN-COTTAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS635334,Long,-3.95014,Lat,51.08363,Elevation,720,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,4.4,6.26,6.99,8.16,1.96,6.47,4.64,4.7,3.02,3.73,1.71,4.63,6.52,6.62,7.21,3.67,3.44,,,,,,,,,
February,,,,,,7.73,2.78,3.93,4.03,1.82,1.43,5.19,0.11,4.5,0.48,4.39,2.34,7.44,2.1,2.34,4.45,4.42,,,,,,,,,
March,,,,,,1.54,1.19,4.43,3.82,0.57,3,1.79,2.63,3.9,2.84,1.37,2.87,4.49,1.44,1.93,2.96,3.64,,,,,,,,,
April,,,,,,3.57,1.94,2.55,1.58,0.92,2.86,3.65,2.43,1.91,2.83,5.46,2.64,3.69,0.34,2.62,3.5,1.25,,,,,,,,,
May,,,,,,5.61,1.87,1.42,0.7,3.36,3.27,3.52,3.33,2.67,1.89,2.68,0.76,2.5,2.93,1.5,1.89,2.61,,,,,,,,,
June,,,,,,0,2.58,3.17,3.64,2.83,1.44,3.78,1.35,1.7,1.84,3.66,2.87,1.34,2.61,1.71,0.83,1.52,,,,,,,,,
July,,,,,,4.36,2.87,5.89,2.87,3,3.1,6.5,4.83,2.28,0.74,1.5,8.47,3.01,3.98,6.51,5.76,2.64,,,,,,,,,
August,,,,,,4.16,3.7,6.07,4.46,4.98,5.57,4.75,1.89,1.79,5.5,3.79,1.43,1.88,8.3,3.27,0.45,6.18,,,,,,,,,
September,,,,,,5.34,3.55,7.81,1.45,0.92,5.59,2.79,5.69,1.22,4.13,6.42,4.71,4.43,1.86,0.85,3.25,0.61,,,,,,,,,
October,,,,,,5.08,3.31,3.46,7.53,7.46,7.64,1.31,10.6,5.42,5.12,6.96,3.02,3.04,7.17,2.99,3.93,3.43,,,,,,,,,
November,,,,,,3.33,7.59,4.22,5.96,9.7,4.72,6.43,3.48,1.51,2.81,6.28,5.23,2.68,8.29,10.89,7.75,1.86,,,,,,,,,
December,,,,,,4.13,0.93,3.28,5.09,7.18,6.58,2.54,2.5,1.96,9.43,5.18,4.61,4.09,4.57,3.25,4.45,4.03,,,,,,,,,
Total,,,,,,49.25,38.57,53.22,49.29,44.7,51.67,46.89,43.54,31.88,41.34,49.4,43.58,45.11,50.21,45.07,42.89,35.63,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunn Cottage Berry Lane Gunn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exact location unknown but this is nearest to elevation of 720ft though still under 700ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record ceased end of 1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
