COBHAM-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ100608,Long,-0.42234,Lat,51.3357,Elevation,71,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,134/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.42,2.27,2.53,4.91,1.56,1.48,1.64,1.64,3.63,0.95,0.91,3.26,1.89,1.05,1.06,2.49,3.58,1.45,2.07,2.29,2.15
February,,,,,,,,,,1.61,2.01,0.52,1.49,0.68,1.28,2.3,1,1.1,0.94,4.26,5.94,0.86,1.25,2.37,1.28,0.24,3.36,1.9,0.09,1.92
March,,,,,,,,,,3.23,3.31,1.57,0.35,0.17,0.95,1.12,4.72,0.81,0.93,0.91,3.55,2.23,0.44,2.09,0.99,0.6,1.17,1.23,2.31,1.36
April,,,,,,,,,,1.74,1.43,1.14,1.04,1.14,1.12,1.69,1.85,1.34,2.32,2.56,2.75,1.46,2.15,0.38,0.25,1.2,0.23,1.08,2.12,0.68
May,,,,,,,,,,1.36,1.91,3.33,2.09,1,1.43,3.1,1.29,1.89,2.14,1.15,2.11,1.86,1.48,2.55,3.67,0.3,1.59,2.34,0.6,1.88
June,,,,,,,,,,0.53,2.79,0.88,1.67,1.97,1.81,2.7,2.7,3.19,0.69,1.22,0.91,1.61,1.29,3.94,2.11,1.68,1.08,3.89,0.69,1.99
July,,,,,,,,,,2.21,4.46,1.81,1.76,1.5,4.49,2.24,2.46,0.99,1.21,3.66,1.73,0.62,4.45,2.85,0.24,5.56,2.83,1.66,1.75,2.66
August,,,,,,,,,,0.05,5.19,2.08,1.17,1.97,1.61,4,0.33,3.14,1.3,1.91,2.45,2.87,1.54,2.71,1.1,2.96,2.62,2.68,1.36,1.98
September,,,,,,,,,,1.14,0.47,1.14,1.63,2.02,1.95,3.24,1.17,1.1,0.5,2.71,2.5,3.21,2.71,2.58,1.51,2.02,3,3.52,0.05,2.49
October,,,,,,,,,,2.42,1.06,3.6,2.55,3.25,2.92,0.97,0.2,1.94,5.51,0.46,0.62,2.71,3.24,1.98,2.97,1.59,1.4,2.31,2.67,5.85
November,,,,,,,,,,7.41,2.68,2.01,1.24,3.56,0.97,3.98,1.01,1.61,2.36,5.38,6.4,2.85,1.43,4.64,1.23,0.64,2.61,1.83,3.04,4.48
December,,,,,,,,,,1.25,1.7,2.72,1.52,1.81,3.29,2.51,2.68,3.06,1.33,1.67,2.44,2.27,0.79,2.26,2.18,3.29,2.11,2.82,3.69,2.85
Total,,,,,,,,,,25.37,29.28,23.33,21.42,20.63,23.3,29.49,21.05,23.8,20.18,26.8,34.66,24.44,21.82,29.41,20.02,23.66,23.45,27.33,20.66,30.29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Cobham P Sta SRC_ID 6542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
