LEATHERHEAD-THORNCROFT-MANOR,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ165558,Long,-0.330704,Lat,51.289428,Elevation,108,ft,,,,,,,,,,,,
Station no,131/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,0.98,0.84,3.76,2.41,1.25,1.37,2.72,4.16,1.64,2.4,2.57,3.07
February,,,,,,,,,1.13,5.05,7.33,0.94,1.48,2.48,1.74,0.33,3.97,1.6,0.09,2.31
March,,,,,,,,,0.92,1.22,3.62,2.59,0.4,2.47,1.28,0.74,1.04,1.83,2.76,1.88
April,,,,,,,,,1.84,2.19,2.67,1.21,2.55,0.32,0.34,1.46,1.46,1.15,2.37,0.69
May,,,,,,,,,3.04,1.69,2.53,1.94,1.87,1.93,4.38,0.23,0.23,2.89,0.81,2.07
June,,,,,,,,,0.95,1.07,0.86,1.51,1.66,4.21,2.41,2.38,2.38,3.73,0.57,1.66
July,,,,,,,,,0.61,3.89,2.03,0.73,3.35,2.68,2.02,4.55,3.48,1.75,1.82,2.67
August,,,,,,,,,1.93,2.41,3.83,3.96,1.45,2.99,1.23,3.1,3.65,2.98,1.33,2.99
September,,,,,,,,,0.49,2.9,3.4,2.75,3.15,2.4,1.63,2.29,2.84,5.15,0.15,2.55
October,,,,,,,,,6.67,0.56,0.91,3.23,3.75,2.52,3.57,1.7,1.8,3.11,2.71,6.42
November,,,,,,,,,2.88,6.09,7.78,3.34,1.44,4.82,1.29,0.81,3.03,1.93,3.82,4.73
December,,,,,,,,,1.33,1.96,2.7,2.39,0.63,2.41,2.8,3.65,2.5,3.01,5.49,3.05
Total,,,,,,,,,22.77,29.87,41.42,27,22.98,30.6,25.41,25.4,28.02,31.53,24.49,34.09
,,,,,,,,,,,,,,,,,,,,
SRC_ID 6527,,,,,,,,,,,,,,,,,,,,
1949-1960,,,,,,,,,,,,,,,,,,,,
