BRUERN-ABBEY-THE-GARDENS,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP265204,Long,-1.6164191,Lat,51.881538,Elevation,340,ft,,,,,,,,,,,,,
Station no,1041,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,4.47,1.86,2.8,2.33,2.6,0.65,3.8,4.41,3.51,,
February,,,,,,,,,,,0.5,2.22,0.17,3.57,0.31,3.15,1.75,4.56,1.07,,
March,,,,,,,,,,0.04,1.78,0.11,2.05,2.86,2.32,0.47,2.48,3.38,,,
April,,,,,,,,,,1.11,3.09,3.35,3,1.04,2.27,4.41,1.85,2.78,,,
May,,,,,,,,,,2.18,1.5,3.66,6.43,1.67,0.77,0.97,0.82,2.32,,,
June,,,,,,,,,,1.16,1.04,3.06,0.99,2.06,1.69,4.31,4.14,2,,,
July,,,,,,,,,,1.24,3.53,3.18,1.65,1.29,0.82,1.13,5.09,1.56,,,
August,,,,,,,,,,1.81,2.72,2.56,2.57,0.57,2.2,1.78,0.36,0.55,,,
September,,,,,,,,,,0.29,3.5,1.94,3.07,2.2,3.1,5.65,6.29,1.7,,,
October,,,,,,,,,,4.12,1.58,0.67,4.11,2.78,1.39,4.12,1.54,3.33,,,
November,,,,,,,,,,7.82,3.93,4.56,2.02,0.93,1.72,6.03,2.64,1.86,,,
December,,,,,,,,,,6.98,3.72,1.31,0.99,0.33,6.5,4.04,3.44,2.51,,,
Total,,,,,,,,,,,31.36,28.48,29.85,21.63,25.69,36.71,34.2,30.96,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1929 Jan Feb estimated,,,,,,,,,,,,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,,,,,,,,,,,,
