"BRISTOL DOCKS UNDERFALL YARD",,,,,,,,,,,,
Grid ref,ST571721,Long,-2.618691,Lat,51.446253,,,,,,,
Station no,RR1492,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.78,1.81,1.49,3.58,3.05,0.43,4.42,1.63,1.52,1.17,,
February,5.49,0.89,0.72,1.48,3.48,0.68,2.06,1.38,1.43,0.43,,
March,1.16,2.11,1.51,3.67,1.35,3.85,2.25,0.81,2.57,3.15,,
April,0.94,2.54,1.25,2.56,1.79,2.40,0.78,2.64,2.64,2.95,,
May,2.04,0.77,1.46,2.54,2.21,0.08,2.07,2.03,1.63,1.35,,
June,1.81,1.44,2.63,3.04,1.45,3.81,2.07,2.41,0.39,3.66,,
July,0.67,2.27,0.89,1.59,3.66,0.46,1.16,2.50,1.54,2.73,,
August,2.09,2.14,3.55,3.79,2.75,3.30,2.09,1.71,4.41,2.37,,
September,0.61,1.42,1.76,2.77,1.34,1.29,0.63,0.49,2.15,2.10,,
October,3.53,1.33,1.65,7.01,1.05,1.56,4.88,4.29,1.64,5.06,,
November,2.78,0.36,2.23,1.51,1.88,2.62,2.35,2.59,0.95,1.09,,
December,4.64,4.88,2.51,2.98,1.98,0.84,1.21,5.39,2.40,4.50,,
Total,29.54,21.96,21.65,36.52,25.99,21.32,25.97,27.87,23.27,30.56,,
Calc annual,29.54,21.96,21.65,36.52,25.99,21.32,25.97,27.87,23.27,30.56,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
