BROMLEY-HENVILLE-ROAD (BURNT ASH LANE),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ4041170664,Long,0.017847163,Lat,51.41761,Elevation,200,ft,,,,,,,,,,,,
Station no,406/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,2.39,4.47,,,,,,,1.67,1.81,,,
February,,,,,,,,0.75,1,,,,,,,2.45,1.67,,,
March,,,,,,,,0.52,1.61,,,,,,,1.28,,,,
April,,,,,,,,0.16,1.93,,,,,,,2.3,,,,
May,,,,,,,,1.45,2.6,,,,,,,4.13,,,,
June,,,,,,,,0.47,1.07,,,,,,,2.05,,,,
July,,,,,,,,1.32,2.46,,,,,,,1.76,,,,
August,,,,,,,,2.05,3.02,,,,,,1.59,4.26,,,,
September,,,,,,,,2.35,1.43,,,,,,1.54,2.68,,,,
October,,,,,,,,2.32,,,,,,,2.12,1,,,,
November,,,,,,,,2.93,,,,,,,0.21,3.45,,,,
December,,,,,,,,2.48,,,,,,,2.91,2.35,,,,
Total,,,,,,,,19.19,,,,,,,,29.38,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge temporarily terminated during war,,,,,,,,,,,,,,,,,,,,
Gauge moved end Mar 1947,,,,,,,,,,,,,,,,,,,,
